,Name,LDate,Span,Perigee,Apogee,Inc,cospar id,mass(kg),length(m),height(m),depth(m),Unused,Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF
10914,Globalstar FM46,1999-03-15,12.0,1411.0,1415.0,52.01,1999-012C,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
10915,Globalstar FM37,1999-03-15,12.0,1410.0,1412.0,52.01,1999-012D,450.0,0.6,1.5,12.0,False,,300,0,185,570,0,119
10918,Asiasat 3S,1999-03-21,26.0,35766.0,35805.0,0.05,1999-013A,3463.0,3.4,6.0,26.0,False,,196,40,21,486,16,131
10922,DemoSat,1999-03-28,5.0,628.0,36074.0,1.31,1999-014A,4700.0,5.0,5.0,5.0,True,,322,0,61,591,17,46
10924,Progress M-41,1999-04-02,7.9,336.0,361.0,51.66,1999-015A,7180.0,2.7,7.9,7.9,True,2.5319444444444446,98,30,236,439,1,93
10926,Insat 2E,1999-04-02,24.7,35766.0,35806.0,0.05,1999-016A,2600.0,1.9,2.3,24.7,True,,109,14,117,482,16,174
10928,DSP F19,1999-04-09,11.5,,,,1999-017A,2360.0,4.3,10.0,10.0,True,,218,0,4,542,17,175
10932,Eutelsat W3,1999-04-12,29.0,35694.0,35737.0,0.02,1999-018A,3177.0,2.5,4.6,29.0,True,812.0,148,18,254,580,18,119
10934,Globalstar FM45,1999-04-15,12.0,1412.0,1414.0,52.0,1999-019A,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
10935,Globalstar FM19,1999-04-15,12.0,1412.0,1414.0,52.0,1999-019B,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
10936,Globalstar FM44,1999-04-15,12.0,1412.0,1415.0,52.0,1999-019C,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
10937,Globalstar FM42,1999-04-15,12.0,1412.0,1414.0,52.0,1999-019D,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
10940,Landsat 7,1999-04-15,8.0,687.0,698.0,98.22,1999-020A,2101.0,2.8,4.3,8.0,False,,323,0,219,311,10,131
10942,Sputnik-99,1999-04-02,0.2,328.0,345.0,51.66,1999-015C,3.0,0.2,0.2,0.2,True,118.0,324,30,258,592,1,19
10943,UOSAT-OSCAR-36,1999-04-21,6.0,647.0,653.0,64.55,1999-021A,325.0,0.6,1.0,6.0,True,,191,2,172,593,0,176
10946,ABRIXAS,1999-04-28,2.5,554.0,602.0,48.45,1999-022A,470.0,1.5,2.5,2.5,True,,198,9,209,594,1,131
10947,Megsat-0,1999-04-28,0.5,549.0,601.0,48.46,1999-022B,35.0,0.5,0.4,0.5,True,1651.0,325,4,259,595,1,23
10949,Milstar 3,1999-04-30,35.0,1094.0,5152.0,28.2,1999-023A,4500.0,5.0,15.5,35.0,True,,218,0,223,504,4,177
10951,Orion 3,1999-05-05,10.0,421.0,1317.0,29.06,1999-024A,4300.0,3.5,5.8,10.0,True,,326,0,21,565,0,131
10953,Feng Yun 1C,1999-05-10,8.6,849.0,867.0,98.79,1999-025A,958.0,1.4,1.4,8.6,True,,173,11,167,418,10,119
10954,Shi Jian 5,1999-05-10,4.0,844.0,868.0,98.79,1999-025B,258.0,1.0,1.0,4.0,True,,239,11,260,596,10,131
10957,TERRIERS,1999-05-18,1.1,540.0,554.0,97.72,1999-026A,125.0,0.5,1.0,1.1,True,,2,0,197,537,12,23
10958,MUBLCOM,1999-05-18,4.3,772.0,777.0,97.72,1999-026B,48.0,1.0,0.2,4.3,True,,327,0,216,520,10,20
10962,Nimiq 1,1999-05-20,21.0,35778.0,35795.0,0.02,1999-027A,3646.0,1.8,4.5,21.0,False,,92,3,242,572,16,131
10967,Uribyol-3,1999-05-26,0.6,716.0,738.0,98.38,1999-029A,110.0,0.495,0.852,0.604,True,,220,31,261,597,10,119
10968,DLR-TUBSAT,1999-05-26,0.3,713.0,732.0,98.28,1999-029B,45.0,0.4,0.6,0.6,False,,198,9,182,500,10,23
10969,Oceansat,1999-05-26,11.7,716.0,739.0,98.38,1999-029C,1050.0,0.3,0.3,0.3,True,,109,14,213,413,10,131
10971,Discovery (STS-96),1999-05-27,37.3,380.0,385.0,51.59,1999-030A,118857.0,23.8,37.3,37.3,True,2.183333333333333,93,0,231,335,1,141
10974,Starshine,1999-05-27,0.5,375.0,393.0,51.59,1999-030B,40.0,0.5,0.5,0.5,True,267.0,2,0,19,598,1,4
10975,Globalstar M025,1999-06-10,12.0,1413.0,1413.0,52.0,1999-031A,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
10976,Globalstar M049,1999-06-10,12.0,1412.0,1414.0,52.0,1999-031B,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
10977,Globalstar M047,1999-06-10,12.0,1413.0,1414.0,52.0,1999-031C,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
10978,Globalstar M052,1999-06-10,12.0,1412.0,1414.0,51.99,1999-031D,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
10981,Iridium 14A,1999-06-11,5.0,708.0,712.0,86.52,1999-032A,655.0,1.0,4.06,8.37,True,7217.221527777778,283,0,241,546,9,119
10982,Iridium 21A,1999-06-11,5.0,709.0,711.0,86.51,1999-032B,655.0,1.0,4.06,8.37,True,,283,0,241,546,9,119
10989,Astra 1H,1999-06-18,10.0,35771.0,35801.0,0.04,1999-033A,3728.0,5.0,3.5,10.0,True,,177,25,21,486,16,131
10993,QuikScat,1999-06-20,3.8,804.0,807.0,98.62,1999-034A,970.0,1.7,2.2,3.8,True,,2,0,14,599,10,131
10995,FUSE,1999-06-24,6.0,753.0,770.0,24.98,1999-035A,1130.0,1.2,5.5,6.0,True,,2,0,216,600,24,119
10997,Molniya-3,1999-07-08,8.1,470.0,39885.0,62.87,1999-036A,1750.0,1.6,3.6,8.1,True,,304,30,205,256,26,30
11000,Globalstar M035,1999-07-10,12.0,1413.0,1413.0,52.0,1999-037A,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11001,Globalstar M032,1999-07-10,12.0,1413.0,1413.0,52.0,1999-037B,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11002,Globalstar M051,1999-07-10,12.0,1412.0,1414.0,52.0,1999-037C,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11003,Globalstar M030,1999-07-10,12.0,1413.0,1413.0,52.0,1999-037D,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11005,Progress M-42,1999-07-16,7.9,340.0,348.0,51.66,1999-038A,7150.0,2.7,7.9,7.9,True,2.745138888888889,98,30,236,439,1,93
11007,Okean-O,1999-07-17,10.6,660.0,664.0,98.05,1999-039A,6300.0,1.8,10.6,10.6,True,,207,30,44,601,10,116
11009,Columbia (STS-93),1999-07-23,37.3,272.0,297.0,28.47,1999-040A,122534.0,23.8,37.3,37.3,True,5.138888888888889,93,0,231,335,1,136
11010,Chandra X-ray Observatory,1999-07-23,19.5,9999.0,138826.0,28.56,1999-040B,5563.0,4.3,14.0,19.5,False,,37,0,4,602,5,20
11013,Globalstar M048,1999-07-25,12.0,1412.0,1414.0,52.0,1999-041A,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11014,Globalstar M026,1999-07-25,12.0,1413.0,1413.0,52.01,1999-041B,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11015,Globalstar M043,1999-07-25,12.0,1413.0,1413.0,52.0,1999-041C,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11016,Globalstar M028,1999-07-25,12.0,1412.0,1414.0,52.0,1999-041D,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11018,Telkom 1,1999-08-12,22.5,35779.0,35793.0,0.02,1999-042A,2763.0,3.6,4.1,22.5,True,,216,16,242,536,16,131
11020,Globalstar M024,1999-08-17,12.0,1412.0,1414.0,52.01,1999-043A,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11021,Globalstar M027,1999-08-17,12.0,1412.0,1414.0,52.01,1999-043B,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11022,Globalstar M054,1999-08-17,12.0,1412.0,1414.0,52.01,1999-043C,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11023,Globalstar M053,1999-08-17,12.0,1412.0,1414.0,52.01,1999-043D,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11025,Kosmos-2365,1999-08-18,6.3,184.0,338.0,67.12,1999-044A,6600.0,2.7,6.3,6.3,True,,289,30,236,339,1,116
11027,Kosmos-2366,1999-08-26,17.0,965.0,1005.0,82.93,1999-045A,800.0,2.0,2.1,2.1,True,,214,30,175,260,0,178
11030,Yamal-101,1999-09-06,12.0,35502.0,36303.0,0.04,1999-047A,1360.0,2.0,2.0,2.0,True,,328,30,107,603,18,131
11031,Yamal-102,1999-09-06,12.0,35501.0,36302.0,0.05,1999-047B,1360.0,2.0,2.0,2.0,True,,328,30,107,603,18,131
11035,Foton,1999-09-09,6.5,215.0,376.0,62.8,1999-048A,6300.0,2.4,6.5,6.5,True,15.3875,290,30,230,387,1,18
11037,Globalstar M058,1999-09-22,12.0,901.0,956.0,51.98,1999-049A,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11038,Globalstar M050,1999-09-22,12.0,1412.0,1414.0,52.0,1999-049B,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11039,Globalstar M033,1999-09-22,12.0,899.0,956.0,51.99,1999-049C,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11040,Globalstar M055,1999-09-22,12.0,1412.0,1415.0,52.0,1999-049D,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11043,Echostar V,1999-09-23,25.0,35766.0,35807.0,0.11,1999-050A,3177.0,2.4,3.1,25.0,True,3022.0,268,0,185,429,16,119
11046,Ikonos,1999-09-24,2.0,677.0,682.0,98.19,1999-051A,726.0,1.5,2.0,2.0,True,,329,0,223,604,10,131
11049,Telstar 7,1999-09-25,31.1,35773.0,35798.0,0.02,1999-052A,3790.0,2.4,3.1,31.1,True,1619.0,285,0,185,429,16,119
11051,LMI 1,1999-09-26,21.0,35780.0,35792.0,0.06,1999-053A,2600.0,1.8,4.1,21.0,False,2532.0,330,0,242,536,16,119
11055,Resurs F-1M,1999-09-28,6.5,222.0,230.0,82.32,1999-054A,6300.0,2.4,6.5,6.5,True,,102,30,236,324,1,18
11057,GPS IIR-3,1999-10-07,19.3,20096.0,20268.0,53.04,1999-055A,2032.0,1.9,1.5,19.3,False,,218,0,223,393,4,119
11060,DirecTV-1R,1999-10-10,26.0,35781.0,35792.0,0.03,1999-056A,3447.0,2.7,4.0,26.0,True,,331,0,21,565,16,131
11062,Zi Yuan 1-1,1999-10-14,9.0,773.0,774.0,98.56,1999-057A,1450.0,2.0,1.8,9.0,True,,332,11,84,605,10,131
11063,SACI-1,1999-10-14,1.2,733.0,744.0,98.55,1999-057B,60.0,0.4,0.6,1.2,True,,227,20,194,606,10,92
11065,Globalstar M057,1999-10-18,12.0,1411.0,1415.0,52.0,1999-058A,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11066,Globalstar M059,1999-10-18,12.0,1412.0,1414.0,52.01,1999-058B,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11067,Globalstar M056,1999-10-18,12.0,897.0,948.0,51.96,1999-058C,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11068,Globalstar M031,1999-10-18,12.0,892.0,948.0,51.96,1999-058D,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11071,Orion 2,1999-10-19,31.1,35777.0,35793.0,0.04,1999-059A,3787.0,2.4,3.1,31.1,False,13.0,326,0,185,429,16,119
11075,GE 4,1999-11-13,26.8,35959.0,35985.0,0.05,1999-060A,3903.0,3.0,6.2,26.8,False,719.0,160,0,242,572,18,119
11077,Shenzhou,1999-11-19,10.0,193.0,507.0,42.48,1999-061A,8400.0,3.2,10.0,10.0,True,1.820138888888889,333,11,262,607,1,179
11081,Shenzhou 1 Guidao Cang,1999-11-19,4.3,195.0,318.0,42.6,1999-061E,1700.0,2.8,4.3,4.3,True,12.0,333,11,262,608,1,2
11082,Globalstar M039,1999-11-22,12.0,897.0,941.0,51.96,1999-062A,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11083,Globalstar M034,1999-11-22,12.0,1412.0,1414.0,51.99,1999-062B,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11084,Globalstar M029,1999-11-22,12.0,900.0,942.0,51.97,1999-062C,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11085,Globalstar M061,1999-11-22,12.0,1412.0,1415.0,52.0,1999-062D,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11088,UHF F/O F10,1999-11-23,26.2,34942.0,36630.0,6.02,1999-063A,3205.0,3.4,6.7,26.2,False,,258,0,21,486,22,119
11090,Helios 1B,1999-12-03,4.0,669.0,675.0,98.08,1999-064A,2544.0,2.0,3.5,4.0,True,,259,6,171,609,10,131
11091,Clementine,1999-12-03,6.0,647.0,664.0,98.08,1999-064B,50.0,0.4,0.7,0.7,True,,259,6,254,342,10,173
11093,Orbcomm D2,1999-12-04,4.3,825.0,833.0,45.04,1999-065A,44.0,1.0,0.2,4.3,False,,208,0,216,520,0,20
11094,Orbcomm D3,1999-12-04,4.3,825.0,833.0,45.04,1999-065B,44.0,1.0,0.2,4.3,False,,208,0,216,520,0,20
11095,Orbcomm D4,1999-12-04,4.3,823.0,832.0,45.03,1999-065C,44.0,1.0,0.2,4.3,False,,208,0,216,520,0,20
11096,Orbcomm D5,1999-12-04,4.3,824.0,830.0,45.04,1999-065D,44.0,1.0,0.2,4.3,True,,208,0,216,520,0,20
11097,Orbcomm D8,1999-12-04,4.3,824.0,831.0,45.03,1999-065E,44.0,1.0,0.2,4.3,False,,208,0,216,520,0,20
11098,Orbcomm D7,1999-12-04,4.3,824.0,829.0,45.04,1999-065F,44.0,1.0,0.2,4.3,False,,208,0,216,520,0,20
11099,Orbcomm D6,1999-12-04,4.3,824.0,829.0,45.04,1999-065G,44.0,1.0,0.2,4.3,True,,208,0,216,520,0,20
11102,XMM-Newton,1999-12-10,10.0,7079.0,114028.0,38.49,1999-066A,3764.0,3.0,10.0,10.0,False,,110,15,263,610,5,20
11104,DMSP F-15,1999-12-12,6.4,837.0,851.0,98.9,1999-067A,1154.0,1.2,6.4,6.4,False,,218,0,8,284,10,131
11105,Terra,1999-12-18,10.0,655.0,686.0,98.24,1999-068A,5190.0,3.5,6.8,10.0,False,,2,0,219,611,10,131
11107,Discovery (STS-103),1999-12-20,37.3,570.0,589.0,28.47,1999-069A,113881.0,23.8,37.3,37.3,True,8.0,93,0,231,335,1,141
11108,Arirang-1,1999-12-21,3.0,687.0,708.0,98.27,1999-070A,510.0,1.3,2.1,3.0,True,,334,31,264,566,10,130
11109,ACRIMSAT,1999-12-21,2.2,682.0,727.0,98.28,1999-070B,109.0,0.8,0.7,2.2,True,,8,0,248,453,10,96
11112,Galaxy 11,1999-12-22,34.0,33612.0,38050.0,0.12,1999-071A,4484.0,3.3,6.2,34.0,False,2383.0,172,0,21,612,11,119
11114,Kosmos-2367,1999-12-26,17.0,403.0,417.0,65.03,1999-072A,3000.0,1.3,10.0,17.0,True,,214,30,164,415,1,20
11116,Kosmos-2368,1999-12-27,5.0,577.0,39776.0,62.88,1999-073A,1250.0,2.0,4.0,5.0,True,,59,30,103,227,26,20
11120,USA 148,2000-01-21,9.5,,,,2000-001A,1232.0,1.9,2.1,9.5,False,,217,0,219,355,16,119
11124,Galaxy 10R,2000-01-25,26.2,35673.0,35778.0,0.05,2000-002A,3651.0,2.3,6.0,26.2,True,2351.0,172,0,21,565,18,119
11126,Zhongxing 22,2000-01-25,18.1,35784.0,35792.0,0.71,2000-003A,2300.0,1.7,5.7,18.1,True,,335,11,265,508,16,119
11129,Weber-OSCAR-39,2000-01-27,0.7,751.0,803.0,100.23,2000-004A,64.0,0.7,0.8,0.8,True,,336,0,266,613,10,23
11130,OCS,2000-01-27,3.5,748.0,798.0,100.23,2000-004B,23.0,3.5,3.5,3.5,True,403.0,337,0,267,614,10,180
11131,OPAL-OSCAR-38,2000-01-27,0.3,750.0,805.0,100.23,2000-004C,13.0,0.2,0.2,0.3,True,,338,0,268,615,10,181
11132,Falconsat-1,2000-01-27,0.6,750.0,806.0,100.23,2000-004D,15.0,0.3,0.6,0.6,True,,339,0,269,616,10,23
11133,ASUSAT-OSCAR-37,2000-01-27,0.3,750.0,805.0,100.23,2000-004E,6.0,0.3,0.2,0.3,True,,340,0,270,617,10,2
11135,Progress M1-1,2000-02-01,7.9,342.0,348.0,51.65,2000-005A,7150.0,2.7,7.9,7.9,True,2.334722222222222,98,30,236,618,1,93
11137,Kosmos-2369,2000-02-03,22.7,846.0,854.0,71.01,2000-006A,3200.0,1.4,3.0,5.0,True,,341,30,44,619,0,134
11139,Hispasat 1C,2000-02-03,26.0,35770.0,35802.0,0.06,2000-007A,3112.0,2.5,4.2,26.0,True,5871.0,223,13,254,580,16,119
11141,Picosat 1,2000-01-27,30.0,749.0,799.0,100.23,2000-004H,1.0,0.1,0.1,30.0,True,,342,0,271,620,10,182
11142,Globalstar M063,2000-02-08,12.0,913.0,931.0,52.0,2000-008A,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11143,Globalstar M062,2000-02-08,12.0,1412.0,1414.0,52.0,2000-008B,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11144,Globalstar M060,2000-02-08,12.0,923.0,931.0,52.01,2000-008C,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11145,Globalstar M064,2000-02-08,12.0,913.0,928.0,52.0,2000-008D,450.0,0.6,1.5,12.0,True,,300,0,185,570,0,119
11147,Gruzovoy Maket,2000-02-08,1.0,581.0,606.0,64.86,2000-009A,966.0,2.0,2.0,2.0,True,,343,30,54,621,1,2
11149,Endeavour (STS-99),2000-02-11,37.3,224.0,242.0,57.01,2000-010A,113881.0,23.8,37.3,37.3,True,11.973611111111111,93,0,231,335,1,136
11150,Garuda 1,2000-02-12,25.0,35774.0,35796.0,2.99,2000-011A,4500.0,3.6,6.0,25.0,True,,344,16,242,622,16,183
11152,Thelma,2000-01-27,0.2,752.0,803.0,100.22,2000-004J,1.0,0.1,0.2,0.2,True,,345,0,272,620,10,23
11153,Louise,2000-01-27,0.2,748.0,804.0,100.22,2000-004K,1.0,0.1,0.2,0.2,True,,345,0,272,620,10,23
11154,JAK,2000-01-27,0.1,749.0,804.0,100.22,2000-004L,1.0,0.1,0.1,0.1,True,,345,0,272,620,10,23
11155,STENSAT,2000-01-27,0.1,750.0,804.0,100.22,2000-004M,1.0,0.1,0.2,0.2,True,,91,0,273,623,10,23
11156,Superbird B2,2000-02-18,26.0,35757.0,35816.0,0.03,2000-012A,4057.0,2.3,2.8,26.0,True,,181,10,21,565,16,119
11158,Ekspress 6A,2000-03-12,27.0,35781.0,35794.0,0.15,2000-013A,2300.0,2.0,2.0,27.0,True,,346,30,205,514,16,20
11162,MTI,2000-03-12,4.1,573.0,613.0,97.4,2000-014A,590.0,1.2,2.5,4.1,False,,347,0,274,624,12,119
11166,Dumsat,2000-03-20,2.0,244.0,18014.0,64.66,2000-015A,2382.0,1.5,2.0,2.0,True,,348,6,275,625,8,2
11167,Asiastar,2000-03-21,28.0,35781.0,35794.0,0.01,2000-016A,2777.0,1.7,3.0,28.0,False,3747.0,310,0,276,539,16,119
11168,Insat 3B,2000-03-21,14.7,35743.0,35829.0,0.01,2000-016B,2070.0,1.7,1.9,14.7,True,,109,14,117,482,16,119
11171,IMAGE,2000-03-25,500.0,1055.0,45925.0,89.83,2000-017A,494.0,2.3,1.5,500.0,True,,2,0,223,567,8,184
11174,Soyuz TM-30,2000-04-04,10.6,358.0,384.0,51.65,2000-018A,7120.0,2.7,7.9,7.9,True,2.2715277777777776,98,30,107,397,1,93
11178,Sesat,2000-04-17,27.0,35781.0,35792.0,0.04,2000-019A,2600.0,3.6,6.1,27.0,True,441.0,148,18,205,626,16,20
11182,Galaxy 4R,2000-04-19,26.0,35780.0,35888.0,0.01,2000-020A,3668.0,2.7,4.0,26.0,True,2266.0,172,0,21,565,18,119
11184,Progress M1-2,2000-04-25,7.9,363.0,380.0,51.65,2000-021A,7150.0,2.7,7.9,7.9,True,2.8944444444444444,98,30,236,618,1,93
11186,GOES 11,2000-05-03,26.9,35782.0,35794.0,0.21,2000-022A,2105.0,2.5,4.6,26.9,True,,69,0,185,429,16,119
11188,Kosmos-2370,2000-05-03,8.5,240.0,297.0,64.75,2000-023A,7000.0,2.7,8.0,8.5,True,,289,30,230,627,1,20
11193,GPS IIR-4,2000-05-11,19.3,20133.0,20234.0,54.9,2000-025A,2032.0,1.9,1.5,19.3,False,,218,0,223,628,4,119
11196,IKA-1,2000-05-16,3.5,543.0,557.0,86.38,2000-026A,657.0,1.0,3.5,3.5,True,,349,30,277,629,6,181
11197,IKA-2,2000-05-16,3.5,542.0,554.0,86.38,2000-026B,660.0,1.0,3.5,3.5,True,,349,30,277,629,6,181
11199,Atlantis (STS-101),2000-05-19,37.3,319.0,333.0,51.58,2000-027A,119097.0,23.8,37.3,37.3,True,2.1881944444444446,93,0,231,335,1,141
11200,Eutelsat W4,2000-05-24,29.0,35600.0,35978.0,0.01,2000-028A,3190.0,2.5,4.6,29.0,False,404.0,148,18,254,580,16,119
11202,Gorizont,2000-06-06,9.5,35783.0,35786.0,1.39,2000-029A,2120.0,3.3,5.5,9.5,True,,215,30,205,314,16,20
11204,TSX-5,2000-06-07,3.0,403.0,1704.0,68.95,2000-030A,250.0,1.0,1.2,3.0,True,,82,0,248,566,0,116
11208,Ekspress 3A,2000-06-24,27.0,35780.0,35795.0,0.13,2000-031A,2600.0,2.0,2.0,27.0,True,,346,30,205,514,16,20
11212,Feng Yun 2B,2000-06-25,3.0,35791.0,35804.0,1.07,2000-032A,1390.0,2.1,3.0,3.0,True,,173,11,167,548,18,2
11214,Nadezhda,2000-06-28,17.0,683.0,707.0,98.12,2000-033A,700.0,2.0,2.1,6.0,True,,315,30,175,433,10,58
11215,Hangtian Qinghua 1,2000-06-28,6.0,684.0,708.0,98.13,2000-033B,50.0,0.4,1.2,1.2,True,,350,11,172,630,10,23
11216,SNAP-1,2000-06-28,0.4,683.0,706.0,98.13,2000-033C,8.0,0.4,0.3,0.4,True,,191,2,172,631,10,23
11218,TDRS 8,2000-06-30,21.0,35669.0,35899.0,6.72,2000-034A,3180.0,3.4,8.4,21.0,False,,2,0,21,486,22,183
11220,Sirius FM-1,2000-06-30,24.8,23783.0,47100.0,63.34,2000-035A,3800.0,5.6,5.2,24.8,False,,351,0,185,429,11,119
11230,Echostar VI,2000-07-14,30.7,33980.0,35917.0,0.17,2000-038A,3700.0,4.0,5.5,30.7,True,,268,0,185,429,18,119
11232,MITA,2000-07-15,3.0,415.0,473.0,87.27,2000-039A,177.0,0.7,1.5,3.0,True,,170,4,278,632,6,119
11233,CHAMP,2000-07-15,8.3,421.0,475.0,87.27,2000-039B,522.0,0.7,4.3,8.3,True,3718.0,257,9,279,633,6,170
11235,GPS IIR-5,2000-07-16,19.3,20184.0,20427.0,55.06,2000-040A,2032.0,1.9,1.5,19.3,False,,218,0,223,628,4,119
11238,Cluster Samba,2000-07-16,100.0,17008.0,120923.0,90.56,2000-041A,1186.0,2.9,1.3,100.0,False,,110,15,280,634,5,135
11239,Cluster Salsa,2000-07-16,100.0,17313.0,120961.0,90.78,2000-041B,1186.0,2.9,1.3,100.0,False,,110,15,280,634,5,135
11241,Sindri,2000-07-19,4.3,548.0,585.0,97.8,2000-042A,125.0,0.9,0.7,4.3,True,846.0381944444445,352,0,211,635,12,119
11243,PAS 9,2000-07-28,26.0,35444.0,35786.0,0.07,2000-043A,3650.0,2.3,6.0,26.0,False,2379.0,172,0,21,486,18,119
11246,Progress M1-3,2000-08-06,7.9,347.0,362.0,51.58,2000-044A,7281.0,2.7,7.9,7.9,True,2.842361111111111,98,30,236,618,1,93
11248,Cluster Rumba,2000-08-09,100.0,17240.0,120715.0,90.89,2000-045A,1186.0,2.9,1.3,100.0,False,,110,15,280,634,5,135
11249,Cluster Tango,2000-08-09,100.0,16809.0,120768.0,90.7,2000-045B,1186.0,2.9,1.3,100.0,False,,110,15,280,634,5,135
11251,Brasilsat B4,2000-08-17,8.3,35765.0,35807.0,0.05,2000-046A,1750.0,3.4,8.3,8.3,False,106.0,298,20,21,512,16,39
11252,Nilesat 102,2000-08-17,21.5,35769.0,35803.0,0.05,2000-046B,1800.0,1.7,2.4,21.5,True,,302,41,276,478,16,185
11256,DM-F3,2000-08-23,2.0,187.0,20629.0,27.63,2000-048A,4348.0,2.0,1.7,2.0,True,7069.0,353,0,281,636,8,2
11257,Raduga-1,2000-08-28,20.0,36377.0,36553.0,2.21,2000-049A,2500.0,2.0,5.0,20.0,True,,289,30,205,590,18,131
11261,Zi Yuan-2 01 xing,2000-09-01,9.8,474.0,492.0,97.42,2000-050A,1450.0,2.0,1.8,9.8,True,5669.936111111111,335,11,84,605,12,131
11263,Sirius FM-2,2000-09-05,24.8,24394.0,47173.0,63.73,2000-051A,3800.0,5.6,5.2,24.8,False,,351,0,185,429,13,119
11267,Eutelsat W1,2000-09-06,31.7,35770.0,35801.0,0.05,2000-052A,3250.0,2.5,5.0,31.7,True,299.0,148,18,276,539,16,119
11269,Atlantis (STS-106),2000-09-08,37.3,158.0,324.0,51.58,2000-053A,115257.0,23.8,37.3,37.3,True,2.24375,93,0,231,335,1,141
11271,Astra 2B,2000-09-14,32.0,35748.0,35822.0,0.08,2000-054A,3315.0,2.5,2.8,32.0,False,,177,25,276,539,16,119
11272,GE 7,2000-09-14,14.5,35774.0,35799.0,0.04,2000-054B,1935.0,3.6,4.1,14.5,True,413.0,160,0,242,637,16,119
11279,NOAA 16,2000-09-21,7.0,848.0,863.0,98.79,2000-055A,1403.0,1.9,4.2,7.0,True,,69,0,8,360,10,131
11280,Kosmos-2372,2000-09-25,10.0,210.0,335.0,64.78,2000-056A,11000.0,3.9,7.0,10.0,True,207.0,289,30,230,398,1,116
11282,Malaysia-OSCAR-46,2000-09-26,6.0,633.0,642.0,64.56,2000-057A,50.0,0.4,0.7,6.0,True,,354,37,282,630,0,181
11283,Megsat-1,2000-09-26,0.5,640.0,646.0,64.56,2000-057B,56.0,0.5,0.4,0.5,True,,325,4,259,595,0,23
11284,Unisat,2000-09-26,0.8,639.0,644.0,64.56,2000-057C,12.0,0.2,0.3,0.8,True,,355,4,283,638,0,181
11285,Saudi-OSCAR-41,2000-09-26,0.2,639.0,654.0,64.56,2000-057D,10.0,0.2,0.2,0.2,True,,356,47,284,639,0,23
11286,Saudi-OSCAR-42,2000-09-26,0.2,639.0,660.0,64.56,2000-057E,10.0,0.2,0.2,0.2,True,,356,47,284,639,0,23
11289,Kosmos-2373,2000-09-29,6.5,211.0,285.0,70.34,2000-058A,6300.0,2.4,6.5,6.5,True,45.953472222222224,203,30,236,333,1,160
11291,GE-1A,2000-10-01,27.0,35768.0,35776.0,0.05,2000-059A,3593.0,2.5,6.1,27.0,False,1156.0,357,0,242,572,18,119
11296,N-SAT-110,2000-10-06,26.4,35784.0,35789.0,0.06,2000-060A,3531.0,2.5,6.0,26.4,False,,181,10,242,572,16,119
11298,HETE 2,2000-10-09,1.1,595.0,636.0,1.95,2000-061A,124.0,0.5,0.7,1.1,True,,2,0,285,537,24,23
11300,Discovery (STS-92),2000-10-11,37.3,311.0,375.0,51.57,2000-062A,115125.0,23.8,37.3,37.3,True,2.7395833333333335,93,0,231,335,1,141
11301,Kosmos-2374,2000-10-13,7.8,19122.0,19127.0,64.85,2000-063A,1300.0,1.5,4.0,7.8,True,,316,30,175,353,4,186
