,Name,LDate,Span,Perigee,Apogee,Inc,cospar id,mass(kg),length(m),height(m),depth(m),Unused,Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF
103,Mariner 2,1962-08-27,5.0,197.0,-100773.0,32.03,1962-041A,201.19,1.53,3.03,3.03,True,0.6895833333333333,8,0,5,29,3,13
105,FTV 1153,1962-08-29,2.3,169.0,394.0,65.21,1962-042A,1139.74,1.5,7.99,7.99,True,12.0,11,0,3,19,1,2
107,FTV 1132,1962-09-01,1.3,288.0,670.0,82.82,1962-044A,1139.74,1.5,7.99,7.99,True,,19,0,3,25,1,2
110,FTV 1133,1962-09-17,2.3,192.0,528.0,81.86,1962-046A,1486.62,1.5,7.99,7.99,True,63.0,11,0,3,19,1,2
111,Tiros 6,1962-09-18,1.1,682.0,713.0,58.28,1962-047A,125.87,1.07,0.56,1.07,True,,2,0,8,9,0,2
113,Kosmos-9,1962-09-27,6.5,297.0,339.0,64.99,1962-048A,4707.63,2.4,4.3,4.3,True,4.3909722222222225,1,1,1,24,1,1
115,Alouette 1,1962-09-29,46.0,999.0,1027.0,80.47,1962-049A,143.41,1.07,0.86,1.07,True,,22,3,18,30,0,11
117,Explorer 14,1962-10-02,1.3,915.0,96959.0,33.6,1962-051A,39.64,0.74,1.3,1.3,True,,2,0,9,11,5,5
118,Sigma Seven,1962-10-03,2.9,156.0,286.0,32.55,1962-052A,1357.78,1.83,2.9,2.9,True,0.8944444444444445,13,0,11,14,1,0
120,FTV 1134,1962-10-09,1.3,216.0,401.0,81.97,1962-053A,1486.62,1.5,7.99,7.99,True,38.0,19,0,3,25,1,2
121,Kosmos-10,1962-10-17,6.5,196.0,368.0,65.0,1962-054A,4707.63,2.4,4.3,4.3,True,4.326388888888889,1,1,1,24,1,1
123,Ranger 5,1962-10-18,5.0,207.0,543753.0,28.32,1962-055A,339.71,1.53,3.13,5.18,True,1.33125,8,0,5,31,7,6
125,Kosmos-11,1962-10-20,1.8,249.0,864.0,48.98,1962-056A,312.19,1.2,1.8,1.8,True,576.0,17,1,15,21,1,11
