,LDate,Span,Perigee,Inc,mass(kg),length(m),height(m),depth(m),Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF,DateN
4017,1976-12-17,0.2,458.0,65.84,5.0,0.2,0.2,0.2,340.0,59,1,44,282,1,4,6642.0
4019,1976-12-17,0.2,460.0,65.84,5.0,0.2,0.2,0.2,329.0,59,1,44,282,1,4,6642.0
4022,1977-04-05,1.4,267.0,70.99,297.32,1.2,1.8,1.8,449.0,59,1,44,27,1,11,6751.0
4029,1976-12-17,0.2,461.0,65.85,5.0,0.2,0.2,0.2,357.0,59,1,44,282,1,4,6642.0
4030,1976-12-17,0.2,458.0,65.79,5.0,0.2,0.2,0.2,347.0,59,1,44,282,1,4,6642.0
4031,1976-12-17,0.2,451.0,65.84,5.0,0.2,0.2,0.2,334.0,59,1,44,282,1,4,6642.0
4032,1976-12-17,0.2,445.0,65.84,5.0,0.2,0.2,0.2,323.0,59,1,44,282,1,4,6642.0
4033,1976-12-17,0.2,452.0,65.83,5.0,0.2,0.2,0.2,338.0,59,1,44,282,1,4,6642.0
4034,1976-12-17,0.2,447.0,65.85,5.0,0.2,0.2,0.2,328.0,59,1,44,282,1,4,6642.0
4035,1976-12-17,0.2,473.0,65.84,5.0,0.2,0.2,0.2,370.0,59,1,44,282,1,4,6642.0
4037,1976-12-17,0.2,451.0,65.89,5.0,0.2,0.2,0.2,334.0,59,1,44,282,1,4,6642.0
4038,1976-12-17,0.2,470.0,65.83,5.0,0.2,0.2,0.2,357.0,59,1,44,282,1,4,6642.0
4039,1976-12-17,0.2,467.0,65.84,5.0,0.2,0.2,0.2,362.0,59,1,44,282,1,4,6642.0
4040,1976-12-17,0.2,453.0,65.81,5.0,0.2,0.2,0.2,340.0,59,1,44,282,1,4,6642.0
4041,1976-12-17,0.2,456.0,65.87,5.0,0.2,0.2,0.2,349.0,59,1,44,282,1,4,6642.0
4049,1977-04-27,1.0,463.0,50.65,2725.47,2.4,9.19,9.19,1061.0,73,1,128,291,1,7,6773.0
4051,1977-04-28,8.1,488.0,62.86,1750.0,1.6,3.6,8.1,15442.135416666666,120,1,125,256,26,30,6774.0
4057,1976-12-17,0.2,405.0,65.86,5.0,0.2,0.2,0.2,304.0,59,1,44,282,1,4,6642.0
4088,1977-05-31,1.8,200.0,65.01,198.22,1.9,0.9,1.9,32.0,97,1,106,170,1,11,6807.0
4093,1977-06-17,3.5,458.0,50.68,101.09,0.7,0.75,0.75,733.0,43,6,95,292,1,2,6824.0
4098,1977-06-18,1.4,266.0,71.02,297.32,1.2,1.8,1.8,436.0,59,1,44,27,1,11,6825.0
4107,1977-06-24,8.6,458.0,63.02,1650.0,1.4,4.4,8.6,5809.0,73,1,125,67,26,30,6831.0
4113,1977-06-29,4.5,508.0,97.36,1280.0,1.4,4.5,4.5,5904.0,102,1,23,70,12,20,6836.0
4120,1977-07-04,5.1,512.0,74.03,867.2,1.0,2.0,2.0,1317.0,81,1,44,156,1,20,6841.0
4122,1977-07-07,13.1,483.0,81.21,2477.7,1.5,5.0,5.0,5775.0,81,1,44,193,1,20,6844.0
4134,1977-07-19,2.0,479.0,74.02,2725.47,2.4,9.19,9.19,1028.0,59,1,44,248,1,7,6856.0
4142,1977-07-22,2.0,380.0,65.84,891.97,2.0,4.0,4.0,467.0,59,1,44,248,1,2,6859.0
4157,1977-08-12,6.3,428.0,22.76,3149.65,2.4,6.09,6.09,580.0,37,0,4,295,20,125,6880.0
4159,1977-05-30,0.2,468.0,74.03,5.0,0.2,0.2,0.2,323.0,59,1,44,282,1,4,6806.0
4160,1977-05-30,0.2,473.0,74.05,5.0,0.2,0.2,0.2,264.0,59,1,44,282,1,4,6806.0
4181,1977-08-30,8.6,498.0,62.87,1650.0,1.4,4.4,8.6,5873.0,73,1,125,67,26,30,6898.0
4191,1977-05-30,0.2,471.0,74.05,5.0,0.2,0.2,0.2,272.0,59,1,44,282,1,4,6806.0
4192,1977-05-30,0.2,471.0,74.04,5.0,0.2,0.2,0.2,269.0,59,1,44,282,1,4,6806.0
4193,1977-05-30,0.2,472.0,74.05,5.0,0.2,0.2,0.2,269.0,59,1,44,282,1,4,6806.0
4194,1977-05-30,0.2,471.0,74.07,5.0,0.2,0.2,0.2,323.0,59,1,44,282,1,4,6806.0
4195,1977-05-30,0.2,471.0,74.03,5.0,0.2,0.2,0.2,285.0,59,1,44,282,1,4,6806.0
4196,1977-05-30,0.2,471.0,74.04,5.0,0.2,0.2,0.2,261.0,59,1,44,282,1,4,6806.0
4197,1977-05-30,0.2,471.0,74.04,5.0,0.2,0.2,0.2,261.0,59,1,44,282,1,4,6806.0
4198,1977-05-30,0.2,470.0,74.03,5.0,0.2,0.2,0.2,250.0,59,1,44,282,1,4,6806.0
4199,1977-05-30,0.2,470.0,74.02,5.0,0.2,0.2,0.2,269.0,59,1,44,282,1,4,6806.0
4200,1977-05-30,0.2,468.0,74.04,5.0,0.2,0.2,0.2,323.0,59,1,44,282,1,4,6806.0
4201,1977-05-30,0.2,467.0,74.03,5.0,0.2,0.2,0.2,289.0,59,1,44,282,1,4,6806.0
4210,1977-09-18,5.8,250.0,64.98,1250.0,2.5,13.99,13.99,128.4951388888889,94,1,110,97,1,3,6917.0
4211,1977-09-20,13.1,559.0,81.22,2477.7,1.5,5.0,5.0,8388.0,81,1,44,193,1,20,6919.0
4221,1977-09-24,23.0,465.0,82.97,545.09,1.5,1.8,1.8,775.0,66,1,44,283,1,103,6923.0
4229,1976-12-17,0.2,450.0,65.87,5.0,0.2,0.2,0.2,390.0,59,1,44,282,1,4,6642.0
4231,1977-10-09,7.2,329.0,51.62,6511.4,2.2,7.49,7.49,2.0,101,1,112,222,1,93,6938.0
4237,1977-05-30,0.2,476.0,74.01,5.0,0.2,0.2,0.2,384.0,59,1,44,282,1,4,6806.0
4238,1977-10-21,23.0,141.0,65.83,743.31,2.0,4.0,4.0,40.0,54,1,44,276,1,2,6950.0
4245,1977-10-25,5.1,499.0,74.05,867.2,1.0,2.0,2.0,1093.0,81,1,44,156,1,20,6954.0
4257,1977-05-30,0.2,469.0,73.98,5.0,0.2,0.2,0.2,296.0,59,1,44,282,1,4,6806.0
4258,1977-05-30,0.2,468.0,74.11,5.0,0.2,0.2,0.2,323.0,59,1,44,282,1,4,6806.0
4263,1977-05-30,0.2,468.0,74.05,5.0,0.2,0.2,0.2,292.0,59,1,44,282,1,4,6806.0
4264,1977-05-30,0.2,468.0,73.99,5.0,0.2,0.2,0.2,292.0,59,1,44,282,1,4,6806.0
4265,1977-05-30,0.2,468.0,74.08,5.0,0.2,0.2,0.2,323.0,59,1,44,282,1,4,6806.0
4266,1977-05-30,0.2,469.0,74.05,5.0,0.2,0.2,0.2,301.0,59,1,44,282,1,4,6806.0
4269,1977-12-08,23.0,463.0,74.03,545.09,1.5,1.8,1.8,738.0,59,1,44,276,1,103,6998.0
4271,1977-12-08,0.2,413.0,74.06,5.0,0.2,0.2,0.2,128.0,59,1,44,282,1,4,6998.0
4272,1977-12-10,7.2,333.0,51.59,6511.4,2.2,7.49,7.49,1.1263888888888889,101,1,112,222,1,93,7000.0
4290,1977-12-21,4.2,937.0,65.86,1486.62,2.5,7.99,7.99,0.7152777777777778,54,1,110,138,0,2,7011.0
4294,1977-12-12,1.8,198.0,65.03,198.22,1.9,0.9,1.9,26.0,97,1,106,170,1,11,7002.0
4303,1977-12-27,1.8,198.0,71.43,198.22,1.9,0.9,1.9,29.0,97,1,106,170,1,11,7017.0
4304,1978-01-10,7.2,326.0,51.63,6511.4,2.2,7.49,7.49,1.5875,101,1,112,222,1,93,7031.0
4305,1978-01-10,13.1,550.0,81.2,2477.7,1.5,5.0,5.0,8653.0,81,1,44,193,1,20,7031.0
4323,1978-01-20,7.9,324.0,51.63,6957.38,2.3,7.89,7.89,2.425,101,1,112,300,1,93,7041.0
4325,1978-01-24,8.1,675.0,62.83,1750.0,1.6,3.6,8.1,4473.0,120,1,125,256,26,30,7045.0
4330,1978-01-26,2.2,161.0,57.03,1810.0,2.2,1.6,2.2,12.0,77,11,84,272,1,26,7047.0
4349,1977-12-08,0.2,461.0,74.08,5.0,0.2,0.2,0.2,130.0,59,1,44,282,1,4,6998.0
4350,1977-12-08,0.2,463.0,73.97,5.0,0.2,0.2,0.2,144.0,59,1,44,282,1,4,6998.0
4354,1978-03-02,7.2,334.0,51.62,6511.4,2.2,7.49,7.49,1.7152777777777777,101,1,112,222,1,93,7082.0
4356,1978-03-02,8.6,608.0,62.91,1650.0,1.4,4.4,8.6,5121.0,73,1,125,67,26,30,7082.0
4361,1978-03-05,3.6,898.0,98.76,900.0,3.3,3.0,3.6,1763.0,2,0,26,69,10,6,7085.0
4376,1977-12-08,0.2,461.0,74.02,5.0,0.2,0.2,0.2,158.0,59,1,44,282,1,4,6998.0
4377,1977-12-08,0.2,463.0,74.03,5.0,0.2,0.2,0.2,222.0,59,1,44,282,1,4,6998.0
4387,1977-12-08,0.2,459.0,74.03,5.0,0.2,0.2,0.2,167.0,59,1,44,282,1,4,6998.0
4388,1977-12-08,0.2,459.0,74.04,5.0,0.2,0.2,0.2,222.0,59,1,44,282,1,4,6998.0
4394,1977-12-08,0.2,460.0,73.95,5.0,0.2,0.2,0.2,180.0,59,1,44,282,1,4,6998.0
4398,1977-12-08,0.2,458.0,74.11,5.0,0.2,0.2,0.2,175.0,59,1,44,282,1,4,6998.0
4399,1977-12-08,0.2,456.0,74.11,5.0,0.2,0.2,0.2,222.0,59,1,44,282,1,4,6998.0
4403,1977-12-08,0.2,432.0,74.03,5.0,0.2,0.2,0.2,166.0,59,1,44,282,1,4,6998.0
4404,1977-12-08,0.2,431.0,74.03,5.0,0.2,0.2,0.2,194.0,59,1,44,282,1,4,6998.0
4407,1977-12-08,0.2,459.0,74.02,5.0,0.2,0.2,0.2,192.0,59,1,44,282,1,4,6998.0
