,LDate,Span,Perigee,Inc,mass(kg),length(m),height(m),depth(m),Days,OwnerF,StateF,ManufacturerF,BusF,OpOrbitF,shapeF,DateN
7884,1988-03-25,40.0,261.0,3.0,234.89,0.97,0.97,0.97,256.0,170,4,166,75,20,4,10758.0
7918,1988-05-13,7.9,328.0,51.62,6957.38,2.3,7.89,7.89,2.092361111111111,101,1,112,300,1,93,10807.0
7921,1988-05-17,15.7,35770.0,0.3,1177.4,6.39,1.63,15.57,3849.0,38,5,126,331,16,127,10811.0
7938,1988-05-28,17.0,403.0,65.03,2973.24,2.0,6.99,6.99,695.0,94,1,164,415,1,2,10822.0
7945,1988-06-07,10.6,345.0,51.62,7086.22,2.72,7.49,7.49,2.6645833333333333,101,1,112,397,1,93,10832.0
7953,1988-06-15,0.6,2496.0,57.58,89.2,1.26,0.48,1.26,3096.0,143,9,151,363,17,121,10840.0
7980,1988-07-14,2.0,366.0,65.84,991.08,2.0,4.0,4.0,250.0,59,1,44,248,1,2,10869.0
7982,1988-07-18,7.9,342.0,51.62,6957.38,2.3,7.89,7.89,2.939583333333333,101,1,112,300,1,93,10873.0
7992,1988-07-28,23.0,468.0,65.84,991.08,2.0,4.0,4.0,620.0,59,1,44,276,1,2,10883.0
7997,1988-08-05,1.5,204.0,63.02,800.0,1.7,1.5,1.5,8.214583333333334,77,11,84,417,1,77,10891.0
8003,1986-09-03,0.2,463.0,74.04,5.0,0.2,0.2,0.2,776.0,59,1,44,282,1,4,10189.0
8004,1986-09-03,0.2,461.0,74.01,5.0,0.2,0.2,0.2,759.0,59,1,44,282,1,4,10189.0
8005,1988-08-12,8.6,571.0,62.92,1650.0,1.4,4.4,8.6,4143.0,162,1,125,67,26,30,10898.0
8016,1986-09-03,0.2,464.0,74.02,5.0,0.2,0.2,0.2,778.0,59,1,44,282,1,4,10189.0
8017,1986-09-03,0.2,459.0,74.03,5.0,0.2,0.2,0.2,768.0,59,1,44,282,1,4,10189.0
8025,1988-08-29,10.6,332.0,51.61,7086.22,2.72,7.49,7.49,2.2368055555555557,101,1,112,397,1,93,10915.0
8027,1988-08-30,5.0,641.0,62.95,1238.85,1.6,4.2,4.2,6281.0,59,1,103,227,26,115,10916.0
8040,1988-09-08,6.6,35785.0,0.04,718.53,2.16,6.59,6.59,3172.0,174,0,21,330,16,20,10925.0
8042,1988-09-09,7.9,329.0,51.62,6957.38,2.3,7.89,7.89,3.0569444444444445,101,1,112,300,1,93,10926.0
8055,1988-07-28,0.2,468.0,65.81,5.0,0.2,0.2,0.2,186.0,59,1,44,282,1,4,10883.0
8056,1988-07-28,0.2,464.0,65.87,5.0,0.2,0.2,0.2,183.0,59,1,44,282,1,4,10883.0
8059,1988-09-19,2.3,242.0,142.85,153.62,1.2,2.3,2.3,117.0,175,24,168,419,19,14,10936.0
8070,1986-09-03,0.2,457.0,74.03,5.0,0.2,0.2,0.2,797.0,59,1,44,282,1,4,10189.0
8071,1986-09-03,0.2,457.0,74.02,5.0,0.2,0.2,0.2,789.0,59,1,44,282,1,4,10189.0
8072,1988-09-29,37.3,302.0,28.47,78771.06,5.49,37.23,23.78,4.692361111111111,93,0,140,335,1,141,10946.0
8076,1988-07-28,0.2,461.0,65.83,5.0,0.2,0.2,0.2,187.0,59,1,44,282,1,4,10883.0
8077,1988-07-28,0.2,466.0,65.84,5.0,0.2,0.2,0.2,199.0,59,1,44,282,1,4,10883.0
8091,1988-07-28,0.2,472.0,65.84,5.0,0.2,0.2,0.2,212.0,59,1,44,282,1,4,10883.0
8092,1988-07-28,0.2,451.0,65.84,5.0,0.2,0.2,0.2,197.0,59,1,44,282,1,4,10883.0
8104,1988-11-15,36.4,247.0,51.62,105000.0,5.59,36.37,23.92,0.26666666666666666,176,1,144,420,1,136,10993.0
8109,1988-11-26,10.6,326.0,51.62,7086.22,2.72,7.49,7.49,2.7194444444444446,101,1,112,397,1,93,11004.0
8112,1988-12-02,37.3,443.0,56.99,78384.54,5.49,37.23,23.78,4.983333333333333,93,0,140,335,1,141,11010.0
8129,1988-12-23,0.2,487.0,73.54,5.0,0.2,0.2,0.2,84.0,59,1,44,282,1,4,11031.0
8130,1988-12-23,0.2,482.0,73.59,5.0,0.2,0.2,0.2,81.0,59,1,44,282,1,4,11031.0
8131,1988-12-22,8.1,479.0,62.77,1750.0,1.6,3.6,8.1,6730.0,164,1,125,256,26,30,11030.0
8137,1988-12-23,0.2,436.0,73.53,5.0,0.2,0.2,0.2,69.0,59,1,44,282,1,4,11031.0
8138,1988-12-23,0.2,453.0,73.59,5.0,0.2,0.2,0.2,70.0,59,1,44,282,1,4,11031.0
8139,1988-12-25,7.9,325.0,51.63,6957.38,2.3,7.89,7.89,2.232638888888889,101,1,112,300,1,93,11033.0
8141,1988-12-28,8.6,616.0,62.84,1650.0,1.4,4.4,8.6,3502.0,162,1,125,67,26,30,11036.0
8156,1988-12-23,0.2,516.0,73.56,5.0,0.2,0.2,0.2,82.0,59,1,44,282,1,4,11031.0
8162,1989-01-27,15.9,35696.0,0.2,1177.4,6.39,1.63,15.57,3261.0,38,5,126,331,18,127,11066.0
8169,1989-02-10,7.9,345.0,51.62,6957.38,2.3,7.89,7.89,2.4368055555555554,101,1,112,300,1,93,11080.0
8178,1989-02-10,6.0,342.0,82.36,6640.24,2.4,6.99,6.99,20.554166666666667,162,1,106,375,1,1,11080.0
8180,1989-02-14,5.0,670.0,62.84,1883.05,2.0,2.0,2.0,7160.0,59,1,103,227,26,20,11084.0
8184,1989-02-14,2.0,185.0,65.83,495.54,2.0,4.0,4.0,243.0,59,1,44,423,0,2,11084.0
8189,1989-02-14,0.2,177.0,65.8,5.0,0.2,0.2,0.2,17.0,59,1,44,282,0,4,11084.0
8190,1989-02-14,0.2,182.0,65.87,5.0,0.2,0.2,0.2,24.0,59,1,44,282,0,4,11084.0
8197,1989-02-14,0.2,182.0,65.86,5.0,0.2,0.2,0.2,25.0,59,1,44,282,0,4,11084.0
8201,1989-02-14,0.2,182.0,65.78,5.0,0.2,0.2,0.2,22.0,59,1,44,282,0,4,11084.0
8204,1989-02-14,0.2,182.0,65.72,5.0,0.2,0.2,0.2,24.0,59,1,44,282,0,4,11084.0
8205,1989-02-14,0.2,180.0,65.92,5.0,0.2,0.2,0.2,23.0,59,1,44,282,0,4,11084.0
8206,1989-02-14,0.2,175.0,65.71,5.0,0.2,0.2,0.2,25.0,59,1,44,282,0,4,11084.0
8207,1989-02-14,0.2,179.0,65.92,5.0,0.2,0.2,0.2,25.0,59,1,44,282,0,4,11084.0
8208,1989-02-14,0.2,177.0,65.76,5.0,0.2,0.2,0.2,20.0,59,1,44,282,0,4,11084.0
8209,1989-02-14,0.2,181.0,65.77,5.0,0.2,0.2,0.2,24.0,59,1,44,282,0,4,11084.0
8220,1989-03-13,37.3,301.0,28.46,78771.06,5.49,37.23,23.78,5.607638888888889,93,0,140,335,1,141,11111.0
8223,1988-12-23,0.2,516.0,73.52,5.0,0.2,0.2,0.2,132.0,59,1,44,282,1,4,11031.0
8224,1988-12-23,0.2,515.0,73.54,5.0,0.2,0.2,0.2,124.0,59,1,44,282,1,4,11031.0
8227,1989-03-16,7.9,358.0,51.63,6957.38,2.3,7.89,7.89,2.8680555555555554,101,1,112,300,1,93,11114.0
8240,1989-03-24,5.5,483.0,47.68,2699.7,2.29,5.49,5.49,1187.0,179,0,100,427,1,2,11122.0
8241,1988-12-23,0.2,480.0,73.55,5.0,0.2,0.2,0.2,123.0,59,1,44,282,1,4,11031.0
8259,1988-12-23,0.2,509.0,73.55,5.0,0.2,0.2,0.2,174.0,59,1,44,282,1,4,11031.0
8260,1988-12-23,0.2,510.0,73.55,5.0,0.2,0.2,0.2,175.0,59,1,44,282,1,4,11031.0
8261,1988-12-23,0.2,511.0,73.55,5.0,0.2,0.2,0.2,176.0,59,1,44,282,1,4,11031.0
8262,1988-12-23,0.2,507.0,73.55,5.0,0.2,0.2,0.2,176.0,59,1,44,282,1,4,11031.0
8263,1989-05-04,37.3,296.0,28.89,77141.72,5.49,37.23,23.78,4.821527777777778,93,0,140,335,1,141,11163.0
8297,1989-05-25,0.6,256.0,62.81,78.0,0.6,0.6,0.6,59.0,182,1,170,430,1,4,11184.0
8298,1989-05-25,0.6,257.0,82.29,78.0,0.6,0.6,0.6,60.0,182,1,170,430,1,4,11184.0
8302,1989-06-14,2.0,454.0,65.83,891.97,2.0,2.0,2.0,1035.0,59,1,44,248,1,4,11204.0
8324,1988-12-23,0.2,500.0,73.55,5.0,0.2,0.2,0.2,246.0,59,1,44,282,1,4,11031.0
8325,1988-12-23,0.2,504.0,73.55,5.0,0.2,0.2,0.2,245.0,59,1,44,282,1,4,11031.0
8326,1988-12-23,0.2,507.0,73.57,5.0,0.2,0.2,0.2,248.0,59,1,44,282,1,4,11031.0
8343,1989-07-12,6.3,180.0,67.14,6640.24,2.4,6.99,6.99,17.0,162,1,106,339,1,20,11232.0
8347,1989-07-18,6.3,231.0,50.55,7600.0,2.4,6.99,6.99,44.78541666666667,97,1,106,435,1,20,11238.0
8353,1989-07-24,17.0,404.0,65.02,3300.0,1.3,10.0,17.0,531.0,94,1,164,415,1,20,11244.0
8361,1989-07-18,0.6,254.0,82.56,78.0,0.6,0.6,0.6,63.0,182,1,170,430,1,4,11238.0
8362,1989-07-18,0.6,254.0,82.56,78.0,0.6,0.6,0.6,63.0,182,1,170,430,1,4,11238.0
8364,1989-08-08,37.3,294.0,57.0,107000.0,23.8,37.3,37.3,5.567361111111111,93,0,140,335,1,136,11259.0
8376,1988-12-23,0.2,498.0,73.55,5.0,0.2,0.2,0.2,283.0,59,1,44,282,1,4,11031.0
8377,1988-12-23,0.2,500.0,73.56,5.0,0.2,0.2,0.2,283.0,59,1,44,282,1,4,11031.0
8378,1988-12-23,0.2,499.0,73.55,5.0,0.2,0.2,0.2,285.0,59,1,44,282,1,4,11031.0
8379,1988-12-23,0.2,500.0,73.55,5.0,0.2,0.2,0.2,282.0,59,1,44,282,1,4,11031.0
8385,1989-08-23,7.9,376.0,51.62,7185.33,2.72,7.89,7.89,2.2215277777777778,101,1,112,439,1,147,11274.0
8387,1989-08-27,7.2,35780.0,0.09,1233.0,2.2,7.2,7.2,1569.0,187,2,21,330,16,2,11278.0
8399,1989-09-05,10.6,373.0,51.62,7086.22,2.2,7.2,10.6,2.9340277777777777,101,1,112,397,1,90,11287.0
8403,1989-09-06,6.5,259.0,82.31,6243.81,2.4,6.49,6.49,16.29861111111111,102,1,106,324,1,18,11288.0
8416,1989-09-15,6.5,204.0,82.33,5847.37,2.4,5.89,5.89,14.113194444444444,104,1,106,235,1,18,11297.0
8424,1989-09-27,8.6,648.0,62.79,1650.0,1.4,4.4,8.6,4063.0,162,1,125,67,26,30,11309.0
8428,1989-09-27,17.0,403.0,65.03,3300.0,1.3,10.0,17.0,566.0,94,1,164,415,1,20,11309.0
8439,1986-09-03,0.2,371.0,74.0,5.0,0.2,0.2,0.2,1128.0,59,1,44,282,1,4,10189.0
8440,1986-09-03,0.2,359.0,74.0,5.0,0.2,0.2,0.2,1128.0,59,1,44,282,1,4,10189.0
8446,1988-12-23,0.2,496.0,73.54,5.0,0.2,0.2,0.2,326.0,59,1,44,282,1,4,11031.0
8447,1988-12-23,0.2,495.0,73.54,5.0,0.2,0.2,0.2,325.0,59,1,44,282,1,4,11031.0
8448,1988-12-23,0.2,495.0,73.54,5.0,0.2,0.2,0.2,324.0,59,1,44,282,1,4,11031.0
8449,1988-12-23,0.2,491.0,73.55,5.0,0.2,0.2,0.2,326.0,59,1,44,282,1,4,11031.0
8450,1988-12-23,0.2,493.0,73.55,5.0,0.2,0.2,0.2,325.0,59,1,44,282,1,4,11031.0
8451,1988-12-23,0.2,487.0,73.55,5.0,0.2,0.2,0.2,325.0,59,1,44,282,1,4,11031.0
8454,1989-10-18,37.3,299.0,34.32,111705.0,23.8,37.3,37.3,5.689583333333333,93,0,140,335,1,136,11330.0
8465,1989-10-27,11.8,35726.0,0.1,1780.97,3.6,11.8,11.8,4282.0,38,5,21,443,16,2,11339.0
8473,1989-11-23,37.3,237.0,28.46,113400.0,23.8,37.3,37.3,5.020833333333333,93,0,140,335,1,136,11366.0
8478,1989-11-24,17.0,404.0,64.91,3300.0,1.3,10.0,17.0,423.0,94,1,164,415,1,20,11367.0
8479,1989-11-26,14.0,390.0,51.62,19390.49,4.35,13.72,13.72,10.515277777777778,101,1,90,294,1,117,11369.0
8481,1989-11-28,8.1,660.0,62.84,1750.0,1.6,3.6,8.1,3825.0,164,1,125,256,26,30,11371.0
8485,1988-12-23,0.2,488.0,73.55,5.0,0.2,0.2,0.2,374.0,59,1,44,282,1,4,11031.0
8486,1988-12-23,0.2,488.0,73.54,5.0,0.2,0.2,0.2,373.0,59,1,44,282,1,4,11031.0
8488,1988-12-23,0.2,487.0,73.54,5.0,0.2,0.2,0.2,373.0,59,1,44,282,1,4,11031.0
8489,1988-12-23,0.2,486.0,73.55,5.0,0.2,0.2,0.2,373.0,59,1,44,282,1,4,11031.0
8503,1988-07-28,0.2,380.0,65.86,5.0,0.2,0.2,0.2,525.0,59,1,44,282,1,4,10883.0
8504,1988-07-28,0.2,379.0,65.8,5.0,0.2,0.2,0.2,525.0,59,1,44,282,1,4,10883.0
8511,1989-12-20,7.9,390.0,51.62,7185.33,2.72,7.89,7.89,2.2368055555555557,101,1,112,439,1,147,11393.0
8513,1988-07-28,0.2,382.0,65.82,5.0,0.2,0.2,0.2,531.0,59,1,44,282,1,4,10883.0
8514,1988-07-28,0.2,379.0,65.83,5.0,0.2,0.2,0.2,527.0,59,1,44,282,1,4,10883.0
8515,1988-07-28,0.2,381.0,65.83,5.0,0.2,0.2,0.2,531.0,59,1,44,282,1,4,10883.0
8516,1988-07-28,0.2,369.0,65.84,5.0,0.2,0.2,0.2,528.0,59,1,44,282,1,4,10883.0
8517,1988-07-28,0.2,370.0,65.82,5.0,0.2,0.2,0.2,528.0,59,1,44,282,1,4,10883.0
8518,1988-07-28,0.2,377.0,65.81,5.0,0.2,0.2,0.2,530.0,59,1,44,282,1,4,10883.0
8519,1988-07-28,0.2,376.0,65.85,5.0,0.2,0.2,0.2,530.0,59,1,44,282,1,4,10883.0
8520,1988-07-28,0.2,378.0,65.83,5.0,0.2,0.2,0.2,531.0,59,1,44,282,1,4,10883.0
8521,1988-07-28,0.2,370.0,65.81,5.0,0.2,0.2,0.2,533.0,59,1,44,282,1,4,10883.0
8522,1988-07-28,0.2,376.0,65.82,5.0,0.2,0.2,0.2,536.0,59,1,44,282,1,4,10883.0
8523,1988-07-28,0.2,371.0,65.82,5.0,0.2,0.2,0.2,534.0,59,1,44,282,1,4,10883.0
8524,1988-07-28,0.2,375.0,65.84,5.0,0.2,0.2,0.2,534.0,59,1,44,282,1,4,10883.0
8525,1988-07-28,0.2,375.0,65.82,5.0,0.2,0.2,0.2,537.0,59,1,44,282,1,4,10883.0
8526,1988-07-28,0.2,380.0,65.84,5.0,0.2,0.2,0.2,537.0,59,1,44,282,1,4,10883.0
8527,1989-12-27,33.9,518.0,73.54,1630.0,1.6,3.3,33.9,2806.0,59,1,44,446,1,151,11400.0
8533,1988-07-28,0.2,368.0,65.82,5.0,0.2,0.2,0.2,536.0,59,1,44,282,1,4,10883.0
8534,1988-07-28,0.2,364.0,65.83,5.0,0.2,0.2,0.2,534.0,59,1,44,282,1,4,10883.0
8535,1989-12-27,0.2,504.0,73.52,5.0,0.2,0.2,0.2,75.0,59,1,44,282,1,4,11400.0
8536,1989-12-27,0.2,501.0,73.53,5.0,0.2,0.2,0.2,91.0,59,1,44,282,1,4,11400.0
8539,1990-01-01,16.0,35449.0,3.37,782.95,1.9,2.1,16.0,5044.0,68,2,142,344,23,119,11405.0
8544,1989-12-27,0.2,484.0,73.52,5.0,0.2,0.2,0.2,72.0,59,1,44,282,1,4,11400.0
8545,1990-01-09,37.3,319.0,28.5,83329.04,5.49,37.23,23.78,11.399305555555555,93,0,140,335,1,136,11413.0
8549,1988-12-23,0.2,498.0,73.55,5.0,0.2,0.2,0.2,432.0,59,1,44,282,1,4,11031.0
8550,1988-12-23,0.2,466.0,73.55,5.0,0.2,0.2,0.2,425.0,59,1,44,282,1,4,11031.0
8551,1988-12-23,0.2,485.0,73.55,5.0,0.2,0.2,0.2,429.0,59,1,44,282,1,4,11031.0
8552,1988-12-23,0.2,481.0,73.55,5.0,0.2,0.2,0.2,429.0,59,1,44,282,1,4,11031.0
8555,1988-12-23,0.2,474.0,73.55,5.0,0.2,0.2,0.2,428.0,59,1,44,282,1,4,11031.0
8556,1988-12-23,0.2,456.0,73.54,5.0,0.2,0.2,0.2,422.0,59,1,44,282,1,4,11031.0
8567,1990-01-23,8.1,592.0,62.81,1750.0,1.6,3.6,8.1,4899.0,164,1,125,256,26,30,11427.0
8581,1989-12-27,0.2,487.0,73.46,5.0,0.2,0.2,0.2,94.0,59,1,44,282,1,4,11400.0
8582,1989-12-27,0.2,451.0,73.57,5.0,0.2,0.2,0.2,89.0,59,1,44,282,1,4,11400.0
8586,1990-02-06,2.0,190.0,65.83,495.54,2.0,4.0,4.0,279.0,59,1,44,423,0,4,11441.0
8591,1990-02-06,0.2,190.0,65.84,5.0,0.2,0.2,0.2,28.0,59,1,44,282,0,4,11441.0
8592,1990-02-06,0.2,185.0,65.72,5.0,0.2,0.2,0.2,46.0,59,1,44,282,0,4,11441.0
8593,1990-02-06,0.2,187.0,65.78,5.0,0.2,0.2,0.2,28.0,59,1,44,282,0,4,11441.0
8594,1990-02-06,0.2,186.0,65.92,5.0,0.2,0.2,0.2,28.0,59,1,44,282,0,4,11441.0
8595,1990-02-06,0.2,183.0,65.79,5.0,0.2,0.2,0.2,27.0,59,1,44,282,0,4,11441.0
8596,1990-02-06,0.2,187.0,65.77,5.0,0.2,0.2,0.2,29.0,59,1,44,282,0,4,11441.0
8597,1990-02-06,0.2,170.0,65.8,5.0,0.2,0.2,0.2,19.0,59,1,44,282,0,4,11441.0
8598,1990-02-06,0.2,180.0,65.92,5.0,0.2,0.2,0.2,28.0,59,1,44,282,0,4,11441.0
8600,1990-02-06,0.2,186.0,65.69,5.0,0.2,0.2,0.2,27.0,59,1,44,282,0,4,11441.0
8601,1990-02-06,0.2,164.0,65.69,5.0,0.2,0.2,0.2,21.0,59,1,44,282,1,4,11441.0
8602,1990-02-11,10.6,378.0,51.62,7086.22,2.72,7.49,7.49,2.2756944444444445,101,1,112,397,1,93,11446.0
8604,1990-02-14,46.0,528.0,43.1,1440.0,1.4,2.4,46.0,3752.0,179,0,19,450,1,153,11449.0
8605,1990-02-14,1.6,450.0,43.11,1034.69,2.13,1.22,2.13,830.0,179,0,14,451,1,2,11449.0
8615,1990-02-28,37.3,238.0,61.98,77330.03,5.49,37.23,23.78,4.7555555555555555,93,0,140,335,1,141,11463.0
8616,1990-02-28,7.9,378.0,51.61,7185.33,2.72,7.89,7.89,3.0444444444444443,101,1,112,439,1,93,11463.0
8618,1989-12-27,0.2,506.0,73.52,5.0,0.2,0.2,0.2,118.0,59,1,44,282,1,4,11400.0
8619,1989-12-27,0.2,506.0,73.52,5.0,0.2,0.2,0.2,122.0,59,1,44,282,1,4,11400.0
8620,1990-03-14,11.8,548.0,28.34,1780.97,3.6,11.79,11.79,791.9993055555556,38,5,21,443,1,20,11477.0
8627,1989-12-27,0.2,500.0,73.52,5.0,0.2,0.2,0.2,124.0,59,1,44,282,1,4,11400.0
8628,1989-12-27,0.2,504.0,73.54,5.0,0.2,0.2,0.2,131.0,59,1,44,282,1,4,11400.0
8636,1990-04-03,2.3,200.0,143.2,158.57,1.2,2.3,2.3,97.0,175,24,168,419,19,14,11497.0
8655,1990-04-13,6.9,35800.0,0.05,646.18,2.16,6.82,6.82,3916.0,117,16,21,330,18,20,11507.0
8662,1990-04-24,37.3,614.0,28.48,68022.79,5.49,37.23,23.78,5.575694444444444,93,0,140,335,0,136,11518.0
8664,1990-04-25,23.0,480.0,74.03,991.08,1.5,1.8,1.8,666.0,59,1,44,276,1,103,11519.0
8676,1990-05-05,7.9,381.0,51.61,6957.38,2.3,7.89,7.89,2.9479166666666665,101,1,112,300,1,93,11529.0
8693,1990-05-31,12.5,373.0,51.61,19326.07,4.35,11.89,11.89,10.449305555555556,101,1,90,294,1,63,11555.0
8695,1989-12-27,0.2,502.0,73.52,5.0,0.2,0.2,0.2,232.0,59,1,44,282,1,4,11400.0
8698,1989-12-27,0.2,501.0,73.53,5.0,0.2,0.2,0.2,236.0,59,1,44,282,1,4,11400.0
8703,1990-06-13,8.1,494.0,62.85,1750.0,1.6,3.6,8.1,5737.0,164,1,125,256,26,30,11568.0
8718,1990-06-23,11.8,35692.0,0.33,1780.97,3.6,11.79,11.79,4043.0,38,5,21,443,16,20,11578.0
8744,1990-08-01,10.6,366.0,51.62,7086.22,2.72,7.49,7.49,2.4902777777777776,101,1,112,397,1,93,11617.0
8759,1990-08-10,8.6,680.0,62.83,1650.0,1.4,4.4,8.6,6174.0,162,1,125,458,26,30,11626.0
8763,1990-04-25,0.2,481.0,73.98,5.0,0.2,0.2,0.2,160.0,59,1,44,282,1,4,11519.0
8764,1990-04-25,0.2,478.0,74.05,5.0,0.2,0.2,0.2,156.0,59,1,44,282,1,4,11519.0
8765,1990-04-25,0.2,464.0,74.07,5.0,0.2,0.2,0.2,148.0,59,1,44,282,1,4,11519.0
8766,1990-04-25,0.2,472.0,73.99,5.0,0.2,0.2,0.2,148.0,59,1,44,282,1,4,11519.0
8767,1990-04-25,0.2,475.0,74.09,5.0,0.2,0.2,0.2,150.0,59,1,44,282,1,4,11519.0
8768,1990-04-25,0.2,476.0,73.95,5.0,0.2,0.2,0.2,153.0,59,1,44,282,1,4,11519.0
8769,1990-08-15,7.9,368.0,51.61,7185.33,2.72,7.89,7.89,2.2263888888888888,101,1,112,439,1,93,11631.0
8774,1990-08-18,7.2,35717.0,0.3,674.93,2.2,7.2,7.2,759.0,187,2,21,330,16,2,11634.0
8778,1990-08-28,5.0,634.0,62.99,1883.05,2.0,2.0,2.0,8888.0,59,1,103,227,26,20,11644.0
8787,1990-08-30,16.0,35785.0,4.31,782.95,1.4,1.9,2.1,4803.0,68,2,142,344,22,127,11646.0
8788,1990-08-30,22.4,32555.0,0.44,1075.32,2.5,2.2,22.38,3959.0,148,18,178,459,11,119,11646.0
8795,1990-09-03,2.0,843.0,98.97,3.96,3.0,3.0,3.0,189.0,77,11,179,460,10,4,11650.0
8796,1990-09-03,2.5,860.0,98.94,3.96,2.5,2.5,2.5,324.0,77,11,179,460,10,4,11650.0
8801,1989-12-27,0.2,312.0,73.5,5.0,0.2,0.2,0.2,307.0,59,1,44,282,1,4,11400.0
8802,1989-12-27,0.2,305.0,73.5,5.0,0.2,0.2,0.2,307.0,59,1,44,282,1,4,11400.0
8807,1990-09-20,8.1,489.0,62.85,1750.0,1.6,3.6,8.1,6866.0,164,1,125,256,26,30,11667.0
8812,1989-12-27,0.2,374.0,73.5,5.0,0.2,0.2,0.2,324.0,59,1,44,282,1,4,11400.0
8813,1989-12-27,0.2,279.0,73.48,5.0,0.2,0.2,0.2,329.0,59,1,44,282,1,4,11400.0
8814,1989-12-27,0.2,380.0,73.51,5.0,0.2,0.2,0.2,324.0,59,1,44,282,1,4,11400.0
8815,1990-09-27,7.9,370.0,51.61,7185.33,2.72,7.89,7.89,2.5180555555555557,101,1,112,439,1,93,11674.0
8826,1990-10-05,2.2,203.0,56.97,1546.0,2.2,1.6,2.2,18.0,77,11,84,272,1,26,11682.0
8829,1990-10-06,37.3,283.0,28.47,88733.4,5.49,37.23,23.78,4.58125,93,0,140,335,1,136,11683.0
8830,1990-10-06,72.5,310.0,28.47,366.7,2.1,3.3,3.3,0.9361111111111111,110,15,176,461,3,154,11683.0
8834,1990-10-12,10.0,35777.0,0.05,1467.79,3.7,3.4,3.7,2408.0,151,0,21,426,16,20,11689.0
8835,1990-10-12,6.6,35781.0,0.07,1212.0,2.2,6.6,6.6,2408.0,145,0,21,330,16,2,11689.0
8840,1989-12-27,0.2,462.0,73.53,5.0,0.2,0.2,0.2,325.0,59,1,44,282,1,4,11400.0
8841,1990-10-30,14.9,35701.0,2.41,683.85,2.56,1.48,15.21,3089.0,200,28,180,462,16,127,11707.0
8853,1990-11-15,37.3,260.0,28.47,77330.03,5.49,37.23,23.78,5.904166666666667,93,0,140,335,1,141,11723.0
8856,1990-11-20,5.0,595.0,63.27,1883.05,2.0,2.0,2.0,6271.0,59,1,103,227,26,20,11728.0
8864,1990-11-23,8.6,592.0,62.9,1650.0,1.4,4.4,8.6,5391.0,162,1,125,458,26,30,11731.0
8877,1990-11-28,0.2,475.0,82.53,5.0,0.2,0.2,0.2,85.0,59,1,44,282,1,4,11736.0
8878,1990-11-28,0.2,478.0,82.48,5.0,0.2,0.2,0.2,87.0,59,1,44,282,1,4,11736.0
8879,1990-11-28,0.2,494.0,82.47,5.0,0.2,0.2,0.2,98.0,59,1,44,282,1,4,11736.0
8881,1990-12-02,37.3,346.0,28.47,83329.04,5.49,37.23,23.78,9.245833333333334,93,0,140,335,1,136,11740.0
8882,1990-12-02,10.6,366.0,51.61,7086.22,2.72,7.49,7.49,2.4145833333333333,101,1,112,397,1,93,11740.0
8900,1989-12-27,0.2,498.0,73.53,5.0,0.2,0.2,0.2,406.0,59,1,44,282,1,4,11400.0
8901,1989-12-27,0.2,494.0,73.53,5.0,0.2,0.2,0.2,407.0,59,1,44,282,1,4,11400.0
8902,1989-12-27,0.2,491.0,73.56,5.0,0.2,0.2,0.2,408.0,59,1,44,282,1,4,11400.0
8918,1989-12-27,0.2,492.0,73.53,5.0,0.2,0.2,0.2,412.0,59,1,44,282,1,4,11400.0
8919,1989-12-27,0.2,496.0,73.53,5.0,0.2,0.2,0.2,412.0,59,1,44,282,1,4,11400.0
8925,1991-01-14,7.9,358.0,51.61,7185.33,2.72,7.89,7.89,2.6909722222222223,101,1,112,439,1,93,11783.0
8928,1991-01-15,22.4,35773.0,0.06,1075.32,2.5,2.2,22.38,3821.0,148,18,178,459,16,119,11784.0
8934,1989-12-27,0.2,429.0,73.52,5.0,0.2,0.2,0.2,412.0,59,1,44,282,1,4,11400.0
8936,1990-11-28,0.2,506.0,82.51,5.0,0.2,0.2,0.2,102.0,59,1,44,282,1,4,11736.0
8937,1990-11-28,0.2,504.0,82.5,5.0,0.2,0.2,0.2,102.0,59,1,44,282,1,4,11736.0
8939,1990-11-28,0.2,509.0,82.51,5.0,0.2,0.2,0.2,102.0,59,1,44,282,1,4,11736.0
8979,1991-03-08,14.9,35766.0,2.64,683.85,2.56,1.48,15.21,2960.0,200,28,142,462,16,127,11836.0
8984,1991-03-19,7.9,365.0,51.61,7185.33,2.72,7.89,7.89,9.501388888888888,101,1,112,439,1,93,11847.0
8986,1991-03-19,2.0,441.0,65.84,991.08,2.0,4.0,4.0,1476.0,59,1,165,406,1,4,11847.0
8995,1989-12-27,0.2,423.0,73.53,5.0,0.2,0.2,0.2,483.0,59,1,44,282,1,4,11400.0
8996,1989-12-27,0.2,418.0,73.51,5.0,0.2,0.2,0.2,482.0,59,1,44,282,1,4,11400.0
8997,1989-12-27,0.2,435.0,73.52,5.0,0.2,0.2,0.2,486.0,59,1,44,282,1,4,11400.0
8998,1991-03-31,15.0,267.0,72.7,18384.54,4.0,6.49,6.49,566.0,123,1,90,198,1,20,11859.0
9007,1991-04-05,37.3,445.0,28.46,77224.98,5.49,37.23,23.78,6.579861111111111,93,0,140,335,1,141,11864.0
9008,1991-04-05,21.3,441.0,28.47,15622.0,4.6,5.49,7.71,2.497916666666667,2,0,4,467,1,119,11864.0
9009,1991-04-13,14.0,35773.0,0.23,731.42,2.97,1.32,14.17,0.027777777777777776,158,0,160,374,16,127,11872.0
