,name,object class,mass(kg),shape,length(m),height(m),depth(m),re-entry epoch,max cross section (m2),min cross section (m2),avg cross section (m2),Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
1399,NigeriaSat-X,Payload,86.0,Box,0.6,0.6,0.6,,0.623538290724796,0.36,0.54,Nigeria,Nigeria,National Space Research and Development Agency (NASRDA),Government,Earth Observation/Technology Development,Optical Imaging,LEO,Sun-Synchronous,0.0,661,696,0.002482797758388309,98.2,98.3,100.0,2011-08-17,,Surrey Satellite Technology Ltd.,UK,Dombarovsky Air Base,Dnepr
1400,Nilesat 201,Payload,3200.0,Box + 2 Pan,1.8,2.9,29.6,,48.0948860691626,3.24,20.28626666666669,NR,Egypt,Egyptian Radio and TV Union ,Government,Communications,,GEO,,-7.0,35795,35813,0.0002134016218523261,0.05,1436.23,3200.0,2010-08-04,15.0,Thales Alenia Space,France,Guiana Space Center,Ariane 5
1401,Nimiq 2,Payload,3600.0,Box + 1 Pan,1.8,4.5,21.0,,35.6650974232166,3.24,17.6998,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-91.25,35779,35793,0.00016604990985862037,0.01,1436.08,3600.0,2002-12-29,12.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton
1402,Nimiq 4,Payload,4850.0,Box + 2 Pan,2.5,5.8,39.0,,94.4383323449979,6.25,42.0933333333333,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-81.96,35779,35794,0.00017790850758483268,0.01,1436.1,4850.0,2008-09-19,15.0,EADS Astrium,France,Baikonur Cosmodrome,Proton
1403,Nimiq 5,Payload,4745.0,Box + 2 Pan,2.6,5.6,26.0,,70.3447928978604,6.76,34.2558666666667,Canada,Canada,Echostar Corporation (entire payload leased from Telesat Canada Ltd.),Commercial,Communications,,GEO,,-72.7,35700,35700,0.0,0.01,1436.1,4745.0,2009-09-17,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M
1404,Nimiq 6,Payload,4745.0,Box + 2 Pan,2.6,5.6,26.0,,70.3447928978604,6.76,34.2558666666667,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,-91.1,35764,35809,0.0005337255227544982,0.04,1436.09,4745.0,2012-05-18,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M
1405,Ningxia 1-01,Payload,100.0,Box + 2 Pan,0.2,0.5,1.0,,0.2753,0.04,0.1664,NR (12/20),China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,,LEO,Non-Polar Inclined,0.0,887,898,0.0007573149741824443,45.0,102.8,,2019-11-13,,DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 6
1406,Ningxia 1-02,Payload,100.0,Box + 2 Pan,0.2,0.5,1.0,,0.2753,0.04,0.1664,NR (12/20),China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,,LEO,Non-Polar Inclined,0.0,886,897,0.000757419265991875,45.0,102.8,,2019-11-13,,DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 6
1407,Ningxia 1-03,Payload,100.0,Box + 2 Pan,0.2,0.5,1.0,,0.2753,0.04,0.1664,NR (12/20),China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,,LEO,Non-Polar Inclined,0.0,886,897,0.000757419265991875,45.0,102.8,,2019-11-13,,DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 6
1408,Ningxia 1-04,Payload,100.0,Box + 2 Pan,0.2,0.5,1.0,,0.2753,0.04,0.1664,NR (12/20),China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,,LEO,Non-Polar Inclined,0.0,884,898,0.000964054537942432,45.0,102.8,,2019-11-13,,DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 6
1409,Ningxia 1-05,Payload,100.0,Box + 2 Pan,0.2,0.5,1.0,,0.2753,0.04,0.1664,NR (12/20),China,Ningxia Jingui Information Technology Co. Ltd.,Commercial,Earth Observation,,LEO,Non-Polar Inclined,0.0,884,897,0.0008952551477170994,45.0,102.8,,2019-11-13,,DFH Satellite Co. Ltd.,China,Taiyuan Launch Center,Long March 6
1410,NIUSAT-Keralshree,Payload,15.0,Box,0.348,0.37,0.37,,0.227815463039716,0.12875999999999999,0.19721,India,India,Noorul Islam University,Civil,Technology Development,,LEO,Sun-Synchronous,0.0,496,517,0.0015269395768196027,97.4,94.5,15.0,2017-06-22,2.0,Noorul Islam University,India,Satish Dhawan Space Centre,PSLV
1411,NIUSAT-Keralshree,Payload,15.0,Box,0.348,0.37,0.37,,0.227815463039716,0.12875999999999999,0.19721,India,India,Noorul Islam University,Civil,Technology Development,,LEO,Sun-Synchronous,0.0,496,517,0.0015269395768196027,97.4,94.5,15.0,2017-06-22,2.0,Noorul Islam University,India,Satish Dhawan Space Centre,PSLV
1412,NOAA 15,Payload,1441.03,Cyl + 1 Pan,1.9,4.2,4.2,,11.3568246254985,2.83528736986479,8.659187695510699,USA,USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0.0,800,816,0.0011145165784341043,98.7,101.0,2223.0,1998-05-13,3.0,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Titan 2
1413,NOAA 18,Payload,1420.0,Box + 1 Pan,1.9,4.2,7.0,,16.1048702354781,3.61,11.218066666666699,USA,USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.0,843,864,0.001453588980411158,99.1,102.0,2223.0,2005-05-20,3.0,Lockheed Martin Space Systems,USA,Vandenberg AFB,Delta 2
1414,NOAA 19,Payload,1420.0,Box + 1 Pan,1.9,4.2,7.0,,16.1048702354781,3.61,11.218066666666699,USA,USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.0,845,864,0.001314969894110319,98.9,102.0,1420.0,2009-02-06,3.0,Lockheed Martin Space Systems,USA,Vandenberg AFB,Delta 2
1415,NOAA 20,Payload,2220.0,Box + 1 Pan,1.4,3.6,10.0,,14.5605065764063,1.96,8.4344,USA,USA,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.0,817,819,0.0001391207568169171,98.7,101.2,2294.0,2017-11-18,7.0,Ball Aerospace,USA,Vandenberg AFB,Delta 2
1416,Noor 1,Payload,15.0,Box + 3 Pan,0.2,0.3,0.6,,0.1901,0.04,0.1156,NR (12/20),Iran,Revolutionary Guard Corps,Military,Earth Observation,,LEO,Non-Polar Inclined,0.0,419,440,0.001544231193470108,59.8,93.1,10.0,2020-04-21,,Unknown,Iran,Shahroud Missile Base,Qased
1417,Noor 1A,Payload,0.75,Box + 2 Pan,0.05,0.15,0.45,29/12/2020,0.0274,0.0025,0.0157,USA,USA,Stara Space,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,333,380,0.003493644540251245,97.0,92.01,1.0,2019-12-06,,Stara Space,USA,Rocket Lab Launch Complex 1,Electron
1418,Norbi,Payload,4.0,Box,0.1,0.3,0.3,,0.0435889894354067,0.01,0.035,NR (12/20),Russia,Novosibirsk State University,Civil,Space Science,,LEO,Sun-Synchronous,0.0,546,568,0.00158798902843944,97.7,95.8,9.0,2020-09-28,,Novosibirsk State University,Russia,Plesetsk Cosmodrome,Soyuz 2.1a
1419,NovaSAR-S,Payload,445.0,Tri Box,1.0,3.0,3.0,,9.9498743710662,3.0,7.5,United Kingdom,United Kingdom,UK Government/Surrey Satellite Technologies,Government/Commercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0.0,586,600,0.0010053138015223325,97.8,96.0,430.0,2018-09-16,7.0,Surrey Satellite Technologies Ltd./Airbus Defense and Space,UK,Satish Dhawan Space Centre,PSLV
1420,Suomi NPP,Payload,2128.0,Box + 1 Pan,1.4,3.6,10.0,,14.5605065764063,1.96,8.4344,USA,USA,National Oceanographic and Atmospheric Administration (NOAA)/NASA,Government,Earth Observation,Meteorology,LEO,Sun-Synchronous,0.0,827,827,0.0,98.7,101.4,2128.0,2011-10-28,,Ball Aerospace,USA,Vandenberg AFB,Delta 2
1421,NPSAT-1,Payload,83.0,Cyl + 2 Ant,0.4,0.8,0.8,,0.343789713403038,0.125663706143592,0.314159265358979,USA,USA,USAF Space Test Office,Civil/Military,Technology Development,,LEO,Sun-Synchronous,0.0,710,720,0.0007057163020465772,24.0,99.0,85.0,2019-06-25,,Naval Postgraduate School,USA,Cape Canaveral,Falcon Heavy
1422,USA 294,Payload,150.0,Box + 2 Pan,1.0,1.0,3.0,,3.3323,1.0,2.0453,USA,USA,National Reconnaissance Office (NRO),Military,Technology Development,,LEO,Polar,0.0,586,588,0.00014374011786689664,70.0,96.4,,2020-01-31,,Unknown,USA,Rocket Lab Launch Complex 1,Electron
1423,USA 276,Payload,2700.0,Hex Cyl + 2 Pan,2.5,4.3,7.1,,20.691154577456103,4.05949408023956,13.1875803734531,USA,USA,National Reconnaissance Office (NRO),Military,Technology Development,,LEO,Non-Polar Inclined,0.0,300,300,0.0,51.0,90.52,,2017-05-01,,Ball Aerospace,USA,Cape Canaveral,Falcon 9
1424,NSLSat-1,Payload,10.0,Box + 1 Dish,0.2,0.3,0.6,,0.0435889894354067,0.01,0.035,United Kingdom,Israel,NSLComm,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,515,543,0.0020292796057399627,97.5,95.2,8.0,2019-07-05,,NSLComm,Israel,Vostochny Cosmodrome,Soyuz 2.1b
1425,AMC 12,Payload,4974.0,Box + 2 Pan,2.5,5.5,38.0,,91.4260670598773,6.25,40.6733333333333,USA,Netherlands,SES S.A.,Commercial,Communications,,GEO,,-37.37,35778,35795,0.00020162964192947707,0.02,1436.1,5396.0,2005-02-03,16.0,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton/Breeze M
1426,GE 1A,Payload,3593.0,Box + 2 Pan,2.5,6.1,27.0,,71.45474871172759,6.25,34.8033333333333,USA,Netherlands,SES S.A.,Commercial,Communications,,GEO,,108.21,35776,35798,0.0002609293830206134,0.07,1436.15,3582.0,2000-10-02,15.0,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K
1427,NSS 12,Payload,5622.0,Box + 2 Pan,2.9,7.6,32.5,,100.95657065218599,8.41,49.2498,United Kingdom,Netherlands,SES S.A.,Commercial,Communications,,GEO,,57.0,35779,35793,0.00016604990985862037,0.06,1436.08,,2009-10-29,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5
1428,"NSS 5 (NSS 803, Intelsat 803)",Payload,2060.46,Hex Poly + 2 Pan,5.19,2.19,21.58,,99.4191856125542,8.92691406499174,42.0548593820586,NR,Netherlands,SES S.A.,Commercial,Communications,,GEO,,50.5,35776,35796,0.00023721415694088623,0.0,1436.08,3412.0,1997-09-23,14.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 42L
1429,NSS 6,Payload,4575.0,Box + 2 Pan,3.6,7.3,26.0,,103.872780453801,12.96,54.3578666666667,NR,Netherlands,SES S.A.,Commercial,Communications,,GEO,,95.04,35776,35797,0.00024907191061876585,0.02,1436.12,4575.0,2002-12-17,,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 4
1430,NSS 7,Payload,4700.0,Box + 2 Wing,3.6,6.7,26.0,,111.813064708612,12.96,58.5966666666667,NR,Netherlands,SES S.A.,Commercial,Communications,,GEO,,-21.0,35775,35798,0.0002727930449634101,0.08,1436.12,4500.0,2002-04-16,14.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 42L
1431,NSS 9,Payload,2290.0,Box + 2 Pan,2.3,4.1,17.5,,42.31534981043721,5.29,21.4606,United Kingdom,Netherlands,SES S.A.,Commercial,Communications,,GEO,,-176.9,35784,35792,9.488116134541488e-05,0.02,1436.17,2238.0,2009-02-11,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA
1432,NSS 9,Payload,2290.0,Box + 2 Pan,2.3,4.1,17.5,,42.31534981043721,5.29,21.4606,United Kingdom,Netherlands,SES S.A.,Commercial,Communications,,GEO,,-176.9,35784,35792,9.488116134541488e-05,0.02,1436.17,2238.0,2009-02-11,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA
1433,NUDTSat,Payload,2.0,Box,0.1,0.2,0.2,,0.0489897948556636,0.02,0.04,Belgium,China,National University of Defense Technology,Military,Earth Science,,LEO,Sun-Synchronous,0.0,497,515,0.0013089005235602095,97.45,94.7,5.0,2017-06-23,,National University of Defense Technology,China,Satish Dhawan Space Centre,PSLV
1434,NUDTSat,Payload,2.0,Box,0.1,0.2,0.2,,0.0489897948556636,0.02,0.04,Belgium,China,National University of Defense Technology,Military,Earth Science,,LEO,Sun-Synchronous,0.0,497,515,0.0013089005235602095,97.45,94.7,5.0,2017-06-23,,National University of Defense Technology,China,Satish Dhawan Space Centre,PSLV
1435,Nusantara Satu,Payload,4736.0,Box + 2 Pan,6.9,8.9,26.1,,205.025072988375,47.61,120.6438,NR,Indonesia,PT Pasifik Satelit Nusantara,Commercial,Communications,,GEO,,146.0,35777,35798,0.00024906600249066,0.03,1436.1,4100.0,2019-02-21,15.0,Space Systems/Loral,USA,Cape Canaveral,Falcon 9
1436,NuSat 1,Payload,37.0,Box,0.4,0.75,0.75,,0.704561033552098,0.3,0.58125,Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0.0,481,499,0.0013119533527696794,97.5,94.41,35.0,2016-05-29,,Satellogic,Uruguay,Taiyuan Launch Center,Long March 4B
1437,NuSat 1,Payload,37.0,Box,0.4,0.75,0.75,,0.704561033552098,0.3,0.58125,Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0.0,481,499,0.0013119533527696794,97.5,94.41,35.0,2016-05-29,,Satellogic,Uruguay,Taiyuan Launch Center,Long March 4B
1438,NuSat 10,Payload,44.0,Box,0.4,0.75,0.75,,0.453431361950185,0.16,0.38,NR (12/20),Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,Sun-Synchronous,0.0,467,477,0.0007307804735457469,97.3,94.0,45.0,2020-11-06,,Satellogic,Argentina,Taiyuan Launch Center,Long March 6
1439,NuSat 11,Payload,44.0,Box,0.4,0.75,0.75,,0.453431361950185,0.16,0.38,NR (12/20),Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,Sun-Synchronous,0.0,467,478,0.0008037997807818782,97.3,94.0,45.0,2020-11-06,,Satellogic,Argentina,Taiyuan Launch Center,Long March 6
1440,NuSat 12,Payload,44.0,Box,0.4,0.75,0.75,,0.453431361950185,0.16,0.38,NR (12/20),Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,Sun-Synchronous,0.0,467,477,0.0007307804735457469,97.3,94.0,45.0,2020-11-06,,Satellogic,Argentina,Taiyuan Launch Center,Long March 6
1441,NuSat 13,Payload,44.0,Box,0.4,0.75,0.75,,0.453431361950185,0.16,0.38,NR (12/20),Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,Sun-Synchronous,0.0,465,475,0.0007309941520467836,97.3,94.0,45.0,2020-11-06,,Satellogic,Argentina,Taiyuan Launch Center,Long March 6
1442,NuSat 14,Payload,44.0,Box,0.4,0.75,0.75,,0.453431361950185,0.16,0.38,NR (12/20),Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,Sun-Synchronous,0.0,468,478,0.0007306736811340058,97.3,94.0,45.0,2020-11-06,,Satellogic,Argentina,Taiyuan Launch Center,Long March 6
1443,NuSat 15,Payload,44.0,Box,0.4,0.75,0.75,,0.453431361950185,0.16,0.38,NR (12/20),Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,Sun-Synchronous,0.0,467,476,0.0006577504933128701,97.3,94.0,45.0,2020-11-06,,Satellogic,Argentina,Taiyuan Launch Center,Long March 6
1444,NuSat 16,Payload,44.0,Box,0.4,0.75,0.75,,0.453431361950185,0.16,0.38,NR (12/20),Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,Sun-Synchronous,0.0,465,473,0.0005848808305307793,97.3,94.0,45.0,2020-11-06,,Satellogic,Argentina,Taiyuan Launch Center,Long March 6
1445,NuSat 17,Payload,44.0,Box,0.4,0.75,0.75,,0.453431361950185,0.16,0.38,NR (12/20),Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,Sun-Synchronous,0.0,465,474,0.0006579428320783682,97.3,94.0,45.0,2020-11-06,,Satellogic,Argentina,Taiyuan Launch Center,Long March 6
1446,NuSat 18,Payload,44.0,Box,0.4,0.75,0.75,,0.453431361950185,0.16,0.38,NR (12/20),Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,Sun-Synchronous,0.0,465,473,0.0005848808305307793,97.3,94.0,45.0,2020-11-06,,Satellogic,Argentina,Taiyuan Launch Center,Long March 6
1447,NuSat 2,Payload,37.0,Box,0.4,0.75,0.75,,0.704561033552098,0.3,0.58125,Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0.0,482,500,0.0013117621337997375,97.5,94.41,35.0,2016-05-29,,Satellogic,Uruguay,Taiyuan Launch Center,Long March 4B
1448,NuSat 2,Payload,37.0,Box,0.4,0.75,0.75,,0.704561033552098,0.3,0.58125,Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0.0,482,500,0.0013117621337997375,97.5,94.41,35.0,2016-05-29,,Satellogic,Uruguay,Taiyuan Launch Center,Long March 4B
1449,NuSat 3,Payload,37.0,Box,0.4,0.75,0.75,,0.704561033552098,0.3,0.58125,Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0.0,535,545,0.0007235890014471782,43.02,95.44,35.0,2017-06-15,,Satellogic,Uruguay,Jiuquan Satellite Launch Center,Long March 4B
1450,NuSat 3,Payload,37.0,Box,0.4,0.75,0.75,,0.704561033552098,0.3,0.58125,Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0.0,535,545,0.0007235890014471782,43.02,95.44,35.0,2017-06-15,,Satellogic,Uruguay,Jiuquan Satellite Launch Center,Long March 4B
1451,NuSat 4,Payload,37.0,Box,0.4,0.75,0.75,,0.704561033552098,0.3,0.58125,Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,Hyperspectral Imaging,LEO,Sun-Synchronous,0.0,493,503,0.000728013977868375,97.2,94.5,35.0,2018-02-02,,Satellogic,Argentina,Jiuquan Satellite Launch Center,Long March 2D
1452,NuSat 5,Payload,37.0,Box,0.4,0.75,0.75,,0.704561033552098,0.3,0.58125,Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,Hyperspectral Imaging,LEO,Sun-Synchronous,0.0,487,507,0.0014562399883500802,97.2,94.5,35.0,2018-02-02,,Satellogic,Argentina,Jiuquan Satellite Launch Center,Long March 2D
1453,Hypatia,Payload,44.0,Box,0.4,0.75,0.75,,0.453431361950185,0.16,0.38,Uruguay,Argentina,Satellogic S.A.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,516,524,0.0005805515239477503,97.5,94.5,35.0,2020-09-02,,Satellogic,Argentina,Guiana Space Center,Vega
1454,NuSat 7,Payload,37.0,Box,0.4,0.75,0.75,,0.453431361950185,0.16,0.38,NR (12/20),Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,Sun-Synchronous,0.0,476,490,0.0010214504596527069,97.3,94.2,45.0,2020-01-15,,Satellogic,Argentina,Taiyuan Launch Center,Long March 2D
1455,NuSat 8,Payload,37.0,Box,0.4,0.75,0.75,,0.453431361950185,0.16,0.38,NR (12/20),Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,Sun-Synchronous,0.0,475,492,0.0012402422120084628,97.3,94.2,45.0,2020-01-15,,Satellogic,Argentina,Taiyuan Launch Center,Long March 2D
1456,NuSat 9,Payload,44.0,Box,0.4,0.75,0.75,,0.453431361950185,0.16,0.38,NR (12/20),Argentina,Satellogic S.A.,Commercial,Earth Observation,,LEO,Sun-Synchronous,0.0,467,479,0.0008768084173608067,97.3,94.0,45.0,2020-11-06,,Satellogic,Argentina,Taiyuan Launch Center,Long March 6
1457,NuSTAR,Payload,360.0,Cyl + Cyl + 1 Rod + 2 Pan,1.1,1.5,11.1,,10.7046946057788,0.9503317777109128,4.74360619179458,USA,USA,National Aeronautics and Space Administration (NASA),Government,Space Science,,LEO,Equatorial,0.0,613,632,0.0013585984983911336,6.0,97.2,360.0,2012-06-13,2.0,Orbital Sciences Corp.,USA,Kwajalein Island,Pegasus XL
1458,O/OREOS,Payload,5.0,Box,0.1,0.3,0.3,,0.099498743710662,0.03,0.075,USA,USA,National Aeronautics and Space Administration (NASA)-Ames Research Center/Stanford University,Government/Civil,Space Science,,LEO,Polar,0.0,624,654,0.0021401055785418748,71.97,97.48,5.5,2010-11-20,0.5,NASA/Ames Research Center,USA,Kodiak Launch Complex,Minotaur 4
1459,O3b FM2,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,8063,8069,0.00020781379883624278,0.03,287.93,700.0,2013-06-25,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST
1460,O3b FM3,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,8060,8071,0.0003810051608880884,0.09,287.92,650.0,2014-07-10,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B
1461,O3b FM4,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,8062,8069,0.00024245782965605624,0.04,287.93,700.0,2013-06-25,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST
1462,O3b FM5,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,8064,8068,0.00013854253255749516,0.03,287.94,700.0,2013-06-25,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST
1463,O3b FM7,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,7831,7845,0.00049268018018018,0.12,281.15,650.0,2014-07-10,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B
1464,O3b FM6,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,7827,7844,0.0005983597902220973,0.12,281.08,650.0,2014-07-10,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B
1465,O3b FM8,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,7815,7842,0.0009508046624643447,0.12,280.87,650.0,2014-07-10,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B
1466,O3b FM9,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,8063,8068,0.00017318416404004018,0.04,287.93,650.0,2014-12-18,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B
1467,O3b FM10,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,8063,8069,0.00020781379883624278,0.04,287.93,650.0,2014-12-18,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B
1468,O3b FM11,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,8063,8069,0.00020781379883624278,0.04,287.93,650.0,2014-12-18,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B
1469,O3b FM12,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,8063,8069,0.00020781379883624278,0.04,287.93,650.0,2014-12-18,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B
1470,O3b FM13,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,8062,8069,0.00024245782965605624,0.05,287.92,650.0,2018-03-09,,Thales Alenia Space,France,Guiana Space Center,Soyuz-2.1b
1471,O3b FM14,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,8062,8069,0.00024245782965605624,0.05,287.92,650.0,2018-03-09,,Thales Alenia Space,France,Guiana Space Center,Soyuz-2.1b
1472,O3b FM15,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,8062,8069,0.00024245782965605624,0.05,287.92,650.0,2018-03-09,,Thales Alenia Space,France,Guiana Space Center,Soyuz-2.1b
1473,O3b FM16,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,8062,8069,0.00024245782965605624,0.05,287.92,650.0,2018-03-09,,Thales Alenia Space,France,Guiana Space Center,Soyuz-2.1b
1474,O3b FM17,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,7838,7840,7.037792948131466e-05,0.04,281.17,700.0,2019-04-04,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B
1475,O3b FM18,Payload,700.0,Trap Box + 2 Pan,2.0,4.0,12.0,,36.1684,6.3804,21.9803522058823,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,,MEO,Equatorial,0.0,7829,7839,0.00035201351731906506,0.04,281.02,700.0,2019-04-04,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B
