,name,object class,mass(kg),shape,length(m),height(m),depth(m),re-entry epoch,max cross section (m2),min cross section (m2),avg cross section (m2),Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
52,ALSAT 1N,Payload,7.0,Box,0.1,0.3,0.3,,0.099498743710662,0.03,0.075,Algeria,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,,LEO,Sun-Synchronous,0.0,661,698,0.002624299595716009,98.2,98.3,10.0,2016-09-26,,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV
53,ALSAT-2A,Payload,116.0,Box + 1 Pan,0.6,1.0,1.8,,1.30585080635796,0.36,0.912266666666667,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,672,674,0.0001419849495953429,98.1,98.2,130.0,2010-07-12,5.0,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV
54,Amazonas 2,Payload,5465.0,Box + 2 Pan,2.9,6.7,39.0,,112.48914240964301,8.41,51.688133333333305,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.0,35767,35805,0.0004507068981876839,0.03,1436.08,5465.0,2009-10-01,15.0,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5
55,Amazonas 3,Payload,6265.0,Box + 2 Pan,2.9,8.1,26.0,,87.86040814700857,8.41,45.6514666666667,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.0,35781,35791,0.00011860707847044311,0.03,1436.05,6265.0,2013-02-07,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
56,Amazonas 4A,Payload,2938.0,Box + 2 Pan,2.5,4.7,23.0,,58.7540527863245,6.25,28.623333333333306,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.0,35784,35795,0.00013045695513466714,0.08,1436.24,2938.0,2014-03-22,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA
57,Amazonas 5,Payload,5900.0,Box + 2 Pan,2.9,8.1,26.0,,87.86040814700857,8.41,45.6514666666667,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,,GEO,,-61.0,35785,35789,4.74417060037479e-05,0.04,1436.11,5900.0,2017-09-12,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton
58,AMC 1 (GE 1),Payload,1585.73,Box + 2 Pan,1.8,3.3,22.0,,38.0923149177992,3.24,17.3329333333333,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-129.15,35772,35800,0.00033209981971724084,0.03,1436.1,2783.0,1996-09-08,15.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A
59,AMC 11 (GE 11),Payload,2315.0,Box + 2 Pan,3.6,6.0,26.0,,97.6949642326347,12.96,49.677866666666695,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-130.93,35774,35797,0.00027279951607738016,0.04,1436.07,2340.0,2004-05-19,15.0,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS
60,AMC 15,Payload,4021.0,Box + 2 Pan,3.6,6.0,26.0,,97.6949642326347,12.96,49.677866666666695,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-105.04,35777,35795,0.0002134927412467976,0.04,1436.08,4200.0,2004-10-14,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M
61,AMC 16,Payload,4065.0,Box + 2 Pan,3.6,6.0,26.0,,97.6949642326347,12.96,49.677866666666695,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-84.98,35780,35793,0.00015418737324018834,0.02,1436.1,4312.0,2004-12-17,15.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5
62,AMC 18,Payload,2081.0,Box + 2 Pan,1.9,3.8,14.7,,30.286444797547198,3.61,15.563133333333301,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-104.97,35773,35800,0.00032023531365269885,0.06,1436.1,2081.0,2006-12-08,15.0,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5
63,AMC 2 (GE 2),Payload,1441.03,Box + 2 Pan,1.8,2.6,22.0,,36.4577318540765,3.24,16.072933333333303,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-100.98,35774,35798,0.0002846569883290635,0.05,1436.1,2648.0,1997-01-30,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L
64,AMC 21,Payload,2473.0,Box + 2 Pan,2.3,3.2,22.0,,47.924310936833706,5.29,22.1656,United Kingdom,USA,SES S.A.,Commercial,Communications,,GEO,,-124.86,35778,35793,0.00017791272787655226,3.0,1436.1,2500.0,2008-08-14,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA
65,AMC 4 (GE 4),Payload,3903.0,Box + 2 Pan,3.0,6.2,26.8,,84.9219548107573,9.0,42.235333333333294,USA,USA,SES S.A./Gogo,Commercial,Communications,,GEO,,-100.99,35781,35791,0.00011860707847044311,0.01,1436.1,3909.0,1999-11-13,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP
66,AMC 6 (GE 6),Payload,3552.0,Box + 2 Pan,2.5,6.1,27.0,,71.45474871172759,6.25,34.8033333333333,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-71.98,35778,35795,0.00020162964192947707,0.05,1436.12,3901.0,2000-10-22,15.0,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K
67,"AMC 8 (GE 8, Aurora 3)",Payload,2015.0,Box + 2 Pan,3.6,4.1,14.5,,55.9620772434967,12.96,31.7595333333333,USA,USA,SES S.A.,Commercial,Communications,,GEO,,-139.0,35773,35798,0.00029652121312758714,0.03,1436.07,2015.0,2000-12-19,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G
68,AmGU 1,Payload,3.0,Box,0.1,0.3,0.3,,0.0435889894354067,0.01,0.035,Russia,Russia,Moscow State University,Civil,Space Science,,LEO,Sun-Synchronous,0.0,514,547,0.0023911310774581552,97.5,95.2,4.0,2019-07-05,,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz 2.1b
69,AMOS 17,Payload,5500.0,Box + 2 Pan,3.3,7.0,35.0,,118.12423957676901,10.89,56.5642666666667,NR (12/20),Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,17.0,35777,35793,0.0001897758273039972,0.0,1436.04,6500.0,2019-08-06,20.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
70,AMOS 4,Payload,4260.0,Box + 2 Pan,2.5,6.8,17.3,,54.441139766883204,6.25,30.0543333333333,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,,GEO,,65.0,35633,35796,0.0019365799760006647,0.01,1432.0,,2013-08-31,12.0,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB
71,OSCAR 7,Payload,28.74,Cyl,0.42,0.43,0.43,,0.227620002054482,0.13854423602331,0.211115026321234,USA,USA,AMSAT-NA,Civil,Communications,,LEO,Polar,0.0,1440,1459,0.001214911439350342,101.4,114.9,29.0,1974-11-15,,Amsat-NA,USA,Vandenberg AFB,Delta 2310
72,ANASIS-2,Payload,5600.0,Box + 2 Pan,2.4,5.0,30.8,,72.4502,5.76,33.1635,NR (12/20),South Korea,Agency for Defense Development,Military,Communications,,GEO,,115.9,35781,35792,0.00013046623889554398,0.01,1436.1,,2020-07-20,15.0,Airbus Defense and Space,France/UK/Germany/Spain,Cape Canaveral,Falcon 9
73,ANDESITE,Payload,5.5,Box,0.2,0.3,0.3,,0.0938083151964686,0.04,0.08,USA,USA,ANDESITE - Boston University,Civil,Space Science/Technology Demonstration,,LEO,Sun-Synchronous,0.0,582,600,0.00129291768424077,97.7,96.5,9.0,2020-06-13,,Boston University,USA,Rocket Lab Launch Complex 1,Electron
74,ANGELS,Payload,27.0,Box + 2 Pan,0.2,0.3,1.0,,0.2221,0.04,0.1264,France,ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,,LEO,Sun-Synchronous,0.0,509,524,0.0010890873448050533,97.4,94.9,18.0,2019-12-18,,CNES ,ESA,Guiana Space Center,Soyuz
