,"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments
24,Aerocube 10A (Jimsat),Aerocube 10A,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,469,481,0.0008765522279035792,51.6,94.15,2.0,,,2019-08-09,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022D,44485,
25,Aerocube 10B (Dougsat),Aerocube 10B,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,471,483,0.0008762961881115817,51.6,94.15,2.0,,,2019-08-09,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-022C,44484,
26,Aerocube 11A (TOMSat Eagle Scout),Aerocube 11A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0.0,495,511,0.0011639749745380474,85.03,94.6,4.0,,,2018-12-17,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104N,43861,Will test miniaturized imagers.
27,Aerocube 11B (TOMSat R3),Aerocube 11B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Polar,0.0,492,511,0.0013825220112057047,85.3,94.6,4.0,,,2018-12-17,,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,2018-104A,43849,Will test miniaturized imagers.
28,Aerocube 12A,Aerocube 12A,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,481,487,0.0004377006127808579,51.6,94.2,4.0,,,2018-07-16,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046C,43556,
29,Aerocube 12B,Aerocube 12B,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,481,487,0.0004377006127808579,51.6,94.2,4.0,,,2018-07-16,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2018-046D,43557,
30,Aerocube 14A,Aerocube 14A,USA,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,0.0,459,474,0.0010970525853872596,51.6,93.9,,,,2020-01-31,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071D,45114,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads, and test the perforance of advanced solar cells."
31,Aerocube 14B,Aerocube 14B,USA,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,0.0,459,474,0.0010970525853872596,51.6,93.9,,,,2020-01-31,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071F,45116,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads that will test new and emerging materials, including structural materials and thermal straps."
32,Aerocube 15A,Aerocube 15A,USA,USA,Aerospace Corporation,Military,Technology Development,,LEO,Non-Polar Inclined,0.0,458,474,0.0011702750146284377,51.6,93.9,,,,2020-01-31,,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,2019-071G,45117,"Demonstratae rapid development of a small-size, weight and power (SWAP), low-cost optical sensor in low earth orbit."
33,Aerocube 5C,Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0.0,500,802,0.021506907847884917,64.78,97.74,1.5,,,2015-10-08,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2015-058B,40965,"Demonstrate tracking technologies, optical communications and laser communication."
