,"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments
1246,Lemur-2 Peter (Lemur 2F2),Lemur 2F2,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0.0,634,650,0.0011409013120365088,6.01,97.56,4.0,,,2015-09-28,,Spire Global,USA,Satish Dhawan Space Centre,PSLV C-30,2015-052F,40935,
1247,Lemur-2 Alex-Maddy (Lemur 2FM106),Lemur 2FM106,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,514,546,0.002318840579710145,97.5,95.2,4.0,,,2019-07-05,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b,2019-038X,44407,
1248,Lemur-2 AndiS (Lemur 2F47),Lemur 2F47,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,586,598,0.0008618213157138753,97.6,96.5,4.0,,,2017-07-14,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042P,42838,
1249,Lemur-2 Angela (Lemur 2F31),Lemur 2F31,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,476,490,0.0010214504596527069,51.64,94.2,4.0,,,2017-04-18,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-019B,42752,
1250,Lemur-2 Anubhavthakur (Lemur 2F16),Lemur 2F16,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,498,507,0.00065478355765733,51.6,94.6,4.0,,,2016-10-17,,Spire Global,USA,Wallops Island Flight Facility,Antares 230,2016-062E,41873,
1251,Lemur-2 ArtFischer (Lemur 2F43),Lemur 2F43,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,585,601,0.0011489300588826655,97.6,96.5,4.0,,,2017-07-14,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BJ,42881,
1252,Lemur-2 Baxter Oliver ,Lemur ,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,414,418,0.0002947244326554671,52.0,92.9,4.0,,,2020-11-05,,Spire Global,USA,International Space Station,Nanorack Deployer,1998-067RV,46925,
1253,Lemur-2 Beaudacious (Lemur 2FM98),Lemur 2FM98,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,493,510,0.0012369933784472096,97.5,96.5,4.0,,,2019-04-01,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2019-018H,44085,
1254,Lemur-2 BrianDavie (Lemur 2F52),Lemur 2F52,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,449,454,0.00036648830902294216,51.6,93.6,4.0,,,2017-12-08,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-071L,43047,
1255,Lemur-2 BrownCow (Lemur 2F71),Lemur 2F71,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,493,504,0.0008007570794205431,97.5,94.5,4.0,,,2018-01-11,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2018-004Q,43125,
1256,Lemur-2 Chanusiak (Lemur 2F83),Lemur 2F83,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Polar,0.0,495,515,0.0014545454545454545,85.0,94.7,4.0,,,2018-11-10,,Spire Global,USA,Rocket Lab Launch Complex 1,Electron,2018-088H,43697,
1257,Lemur-2 ChristinaHolt (Lemur 2F90) ,Lemur 2F90,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,570,585,0.0010795250089960418,97.7,96.2,4.0,,,2018-12-27,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111G,43882,
1258,Lemur-2 DaisyHarper (Lemur 2F95),Lemur 2F95,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,569,587,0.0012953367875647669,97.7,96.2,4.0,,,2018-12-27,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111P,43889,
1259,Lemur-2 DaveWilson (Lemur 2F69),Lemur2F69,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,495,502,0.000509572686903982,97.5,94.5,4.0,,,2018-01-11,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2018-004R,43126,
1260,Lemur-2 DayWzaGoodDay (2FM123),Lemur FM123,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,554,568,0.0010099552734093205,97.7,94.5,4.0,,,2020-09-28,,Spire Global,USA,Plesetsk Cosmodrome,Soyuz 2.1b,2020-068R,46501,
1261,Lemur-2 Dembitz (Lemur 2F49),Lemur 2F49,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,586,596,0.0007182876023559833,97.6,96.5,4.0,,,2017-07-14,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042T,42842,
1262,Lemur-2 Djuproera (Lemur 2FM116),Lemur FM116,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,534,538,0.0002896032435563278,97.5,94.5,4.0,,,2020-09-02,,Spire Global,USA,Guiana Space Center,Vega,2020-061AW,46316,
1263,Lemur-2 Duly (Lemur 2F87),Lemur 2F87,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,479,506,0.0019672131147540984,97.5,94.3,4.0,,,2018-11-29,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2018-096AC,43745,One of two Lemur satellites sponsored by ESA.
1264,Lemur-2 Dunlop (Lemur 2F57),Lemur 2F57,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,451,452,7.329766180458844e-05,51.6,93.6,4.0,,,2017-12-10,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-071S,43053,
1265,Lemur-2 DustInTheWind (Lemur 2FM105) ,Lemur 2FM105,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,515,546,0.002246214042460691,97.5,95.2,4.0,,,2019-07-05,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b,2019-038V,44405,
1266,Lemur-2 Ejatta (Lemur 2FM104),Lemur2FM104,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,515,546,0.002246214042460691,97.5,95.2,4.0,,,2019-07-05,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b,2019-038Z,44409,
1267,Lemur-2 Elham (Lemur 2FM99),Lemur 2FM99,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,493,510,0.0012369933784472096,97.5,94.6,4.0,,,2019-04-01,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2019-018J,44086,
1268,Lemur-2 EthanOakes (Lemur 2FM114),Lemur FM114,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,534,538,0.0002896032435563278,97.5,94.5,4.0,,,2020-09-02,,Spire Global,USA,Guiana Space Center,Vega,2020-061AC,46298,
1269,Lemur-2 Furiaus (Lemur 2F45),Lemur 2F45,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,584,601,0.0012208258527827648,97.6,96.5,4.0,,,2017-07-14,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042R,42840,
1270,Lemur-2 Greenberg (Lemur 2F42),Lemur 2F42,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,585,602,0.001220650534932146,97.6,96.5,4.0,,,2017-07-14,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042N,42837,
1271,Lemur-2 GregRobinson (Lemur 2FM108),Lemur 2FM108,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,515,543,0.0020292796057399622,97.5,95.2,4.0,,,2019-07-05,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b,2019-038AB,44411,
1272,Lemur-2 Gustavo (Lemur 2F89),Lemur 2F89,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,570,585,0.0010795250089960418,97.7,96.2,4.0,,,2018-12-27,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111K,43885,
1273,Lemur-2 HiMomAndDad (Lemur 2FM109),Lemur 2FM109,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,566,576,0.0007203572972194209,36.9,96.1,4.0,,,2019-12-11,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2019-089J,44860,
1274,Lemur-2 JennnyBarna (Lemur 2F30),Lemur 2F30,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,476,490,0.0010214504596527069,51.64,94.2,4.0,,,2017-04-18,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-019C,42753,
1275,Lemur-2 Jeremiah (Lemur 2F129),Lemur 2F129,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,565,577,0.000864428756663305,36.9,94.2,4.0,,,2020-11-07,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2020-081G,46911,
1276,Lemur-2 Jindra (Lemur 2F127),Lemur 2F127,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,564,576,0.0008645533141210375,36.9,94.2,4.0,,,2020-11-07,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2020-081E,46909,
1277,Lemur-2 Jin-Luen (Lemur 2F76),Lemur2F76,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,571,589,0.0012949640287769784,97.3,96.2,4.0,,,2018-01-31,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-014C,43182,
1278,Lemur-2 Jobanputra (Lemur 2-F22),Lemur 2F22,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,496,507,0.0008004074801717238,97.5,94.6,4.0,,,2017-02-15,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008BB,41997,
1279,Lemur-2 JohanLoran (Lemur FM97),Lemur 2FM97,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,493,510,0.0012369933784472096,97.5,94.6,4.0,,,2019-04-01,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2019-018G,44084,
1280,Lemur-2 JPSquared (Lemur 2FMf110),Lemur 2FM110,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,568,579,0.0007921077266508245,36.9,96.1,4.0,,,2019-12-11,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2019-089D,44855,
1281,Lemur-2 Kadi (Lemur 2F74),Lemur2F74,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,571,588,0.0012231095762285057,97.3,96.2,4.0,,,2018-01-31,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-014E,43184,
1282,Lemur-2 Kevin (Lemur 2F51),Lemur 2F51,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,450,455,0.00036643459142543056,51.6,93.6,4.0,,,2017-12-08,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-071K,43046,
1283,Lemur-2 Kobyszcze (Lemur 2F86),Lemur 2F86,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,476,500,0.0017497812773403325,97.5,95.0,4.0,,,2018-11-29,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2018-096P,43732,
1284,Lemur-2 KungFoo (Lemur 2F37),Lemur 2F37,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,496,510,0.0010184781027207915,97.45,94.6,4.0,,,2017-06-23,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036K,42774,
1285,Lemur-2 LillyJo (Lemur 2FM107),Lemur 2FM107,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,514,547,0.0023911310774581552,97.5,95.2,4.0,,,2019-07-05,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b,2019-038L,44396,
1286,Lemur-2 Lisasaurus (Lemur 2F40),Lemur 2F40,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,496,508,0.0008731082654249127,97.45,94.6,4.0,,,2017-06-23,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036R,42780,
1287,Lemur-2 Liu-Poh-Chun (Lemur 2F55),Lemur 2F55,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,451,454,0.00021986075485525832,51.6,93.6,4.0,,,2017-12-08,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-071T,43054,
1288,Lemur-2 LucyBryce (Lemur 2F36),Lemur 2F36,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,496,511,0.0010911471593802284,97.45,94.6,4.0,,,2017-06-23,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036J,42773,
1289,Lemur-2 Lynsey-Symo (Lemur 2F41),Lemur 2F41,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,496,508,0.0008731082654249127,97.45,94.6,4.0,,,2017-06-23,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036Q,42779,
1290,Lemur-2 Marshall (Lemur 2F73),Lemur 2F73,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Polar,0.0,494,534,0.002905287623474724,82.9,94.9,4.0,,,2018-01-21,,Spire Global,USA,Rocket Lab Launch Complex 1,Electron,2018-010C,43165,First launch by Rocket Labs.
1291,Lemur-2 McCafferty (Lemur 2F70),Lemur 2F70,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,493,504,0.0008007570794205431,97.5,94.5,4.0,,,2018-01-11,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2018-004N,43123,
1292,Lemur-2 McCullagh (Lemur 2F56),Lemur 2F56,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,451,454,0.00021986075485525832,51.6,93.6,4.0,,,2017-12-08,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-071Q,43051,
1293,Lemur-2 McPeake (Lemur 2F38),Lemur 2F38,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,496,510,0.0010184781027207915,97.45,94.6,4.0,,,2017-06-23,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036T,42782,
1294,Lemur-2 Mia-Grace (Lemur 2F27),Lemur 2F27,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,496,507,0.0008004074801717238,97.5,94.6,4.0,,,2017-02-15,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008AW,41992,
1295,Lemur-2 Monson (Lemur 2F44),Lemur 2F44,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,585,601,0.0011489300588826655,97.6,96.5,4.0,,,2017-07-14,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042Q,42839,
1296,Lemur-2 Morag (Lemur 2FM101),Lemur 2FM101,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,516,545,0.0021012970074632273,97.5,95.2,4.0,,,2019-07-05,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b,2019-038T,44403,
1297,Lemur-2 NatalieMurray (Lemur 2F94),Lemur 2F94,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,570,585,0.0010795250089960418,97.7,96.2,4.0,,,2018-12-27,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111M,43887,
1298,Lemur-2 Nichol (Lemur FM122),Lemur FM122,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,553,568,0.0010821730033908088,97.7,94.5,4.0,,,2020-09-28,,Spire Global,USA,Plesetsk Cosmodrome,Soyuz 2.1b,2020-068T,46503,
1299,Lemur-2 NoguesCorreig (Lemur 2F28),Lemur 2F28,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,496,507,0.0008004074801717238,97.5,94.6,4.0,,,2017-02-15,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008BA,41996,
1300,Lemur-2 Orzulak (Lemur 2F84),Lemur 2F84,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,476,500,0.0017497812773403325,97.5,95.0,4.0,,,2018-11-29,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2018-096N,43731,
1301,Lemur-2 Oscarlator (Lemur 2FM118),Lemur FM118,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,534,538,0.0002896032435563278,97.5,94.5,4.0,,,2020-09-02,,Spire Global,USA,Guiana Space Center,Vega,2020-061AD,46299,
1302,Lemur-2 Ozarak ,Lemur,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,564,576,0.0008645533141210375,36.9,96.1,4.0,,,2020-11-07,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2020-081D,46908,
1303,Lemur-2 Pappy (Lemur 2FM108),Lemur 2FM108,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,566,576,0.0007203572972194209,36.9,96.1,4.0,,,2019-12-11,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2019-089K,44861,
1304,Lemur-2 PeterG (Lemur 2F48),Lemur 2F48,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,586,596,0.0007182876023559833,97.6,96.5,4.0,,,2017-07-14,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042S,42841,
1305,Lemur-2 PeterWebster (Lemur 2F68),Lemur 2F68,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,493,504,0.0008007570794205431,97.5,94.5,4.0,,,2018-01-11,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2018-004P,43124,
1306,Lemur-2 Rdeaton (Lemur 2-F25),Lemur 2F25,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,496,507,0.0008004074801717238,97.5,94.6,4.0,,,2017-02-15,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008AZ,41995,
1307,Lemur-2 RemyColton (Lemur 2F88),Lemur 2F88,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,570,585,0.0010795250089960418,97.7,96.2,4.0,,,2018-12-27,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111J,43884,
1308,Lemur-2 RobMoore (Lemur 2F33),Lemur 2F33,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,477,489,0.0008755289654166059,51.64,94.2,4.0,,,2017-04-18,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-019D,42754,
1309,Lemur-2 RocketJonah (Lemur 2F54),Lemur 2F54,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,451,454,0.00021986075485525832,51.6,93.6,4.0,,,2017-12-08,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-071E,43041,
1310,Lemur-2 RomaCoste (Lemur 2F53),Lemur 2F53,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,451,455,0.0002931261908251502,51.6,93.6,4.0,,,2017-12-08,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-071M,43048,
1311,Lemur-2 Sam-Amelia (Lemur 2F39),Lemur 2F39,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,496,509,0.0009457984721716988,97.45,94.6,4.0,,,2017-06-23,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036S,42781,
1312,Lemur-2 SarahBettyBoo (Lemur 2F93),Lemur 2F93,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,569,584,0.0010796804145972792,97.7,96.2,4.0,,,2018-12-27,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111N,43888,
1313,Lemur-2 Satchmo (Lemur 2-F24),Lemur 2F24,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,496,507,0.0008004074801717238,97.5,94.6,4.0,,,2017-02-15,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008AV,41991,
1314,Lemur-2 Schmidtfall (Lemur 2FM115),Lemur FM115,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,534,538,0.0002896032435563278,97.5,94.5,4.0,,,2020-09-02,,Spire Global,USA,Guiana Space Center,Vega,2020-061AV,46315,
1315,Lemur-2 ShainaJohl (Lemur 2F34),Lemur 2F34,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,496,511,0.0010911471593802284,97.45,94.6,4.0,,,2017-06-23,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036G,42771,
1316,Lemur-2 Slicers (Lemur 2FM121),Lemur FM121,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,553,567,0.00101010101010101,97.7,94.5,4.0,,,2020-09-28,,Spire Global,USA,Plesetsk Cosmodrome,Soyuz 2.1b,2020-068Q,46500,
1317,Lemur-2 Smita-Sharad (Lemur 2-F26),Lemur 2F26,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,496,507,0.0008004074801717238,97.5,94.6,4.0,,,2017-02-15,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008AX,41993,
1318,Lemur-2 Sokolsky (Lemur 2-F14),Lemur 2F14,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,498,507,0.00065478355765733,51.6,94.6,4.0,,,2016-10-17,,Spire Global,USA,Wallops Island Flight Facility,Antares 230,2016-062D,41872,
1319,Lemur-2 Spire-Minions (Lemur 2F23),Lemur 2F23,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,496,507,0.0008004074801717238,97.5,94.6,4.0,,,2017-02-15,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008AY,41994,
1320,Lemur-2 SpiroVision (Lemur 2F32),Lemur 2F32,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.0,476,490,0.0010214504596527069,51.64,94.2,4.0,,,2017-04-18,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-019E,42755,
1321,Lemur-2 Squarejaws (Lemur 2FM117),Lemur FM117,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.0,534,539,0.0003619778469557663,97.5,94.5,4.0,,,2020-09-02,,Spire Global,USA,Guiana Space Center,Vega,2020-061AX,46317,
