id,Name,SATNO,COSPAR ID,VIMPEL ID,Object Class,Mass (kg),Shape,Length (m),Height (m),Depth (m),Re-entry Epoch,Max.cross section (m²),Min. cross section (m²),Avg. cross section (m²)
47266,ESC-A (Ariane 5ECA),42952,2017-059C,,Rocket Body,5000,Cyl + 1 Nozzle,5.45,7.4,7.4,,46.5909644164614,23.3282889483127,43.3392524039754
47267,Ariane 5 operational debris (Sylda adapter),42953,2017-059D,,Rocket Mission Related Object,440,Cyl,4.5,5.5,5.5,,29.4195456443519,15.9043128087983,27.390760948486
47268,BSAT 4a,42951,2017-059B,,Payload,3520,Box + 2 Pan,2.7,5.1,24.7,,68.314035090529,7.29,33.3427333333333
47269,,,,72704,Unknown,,,,,,,,,
47270,,,,140303,Unknown,,,,,,,,,
47271,,,,122901,Unknown,,,,,,,,,
47272,,,,127001,Unknown,,,,,,,,,
47273,,,,144417,Unknown,,,,,,,,,
47274,,,,41006,Unknown,,,,,,,,,
47275,,,,100401,Unknown,,,,,,,,,
47276,,,,138806,Unknown,,,,,,,,,
47277,,,,138302,Unknown,,,,,,,,,
47278,,,,138303,Unknown,,,,,,,,,
47279,,,,197700,Unknown,,,,,,,,,
47280,,,,150602,Unknown,,,,,,,,,
47281,,,,141905,Unknown,,,,,,,,,
47282,,,,141906,Unknown,,,,,,,,,
47283,,,,90200,Unknown,,,,,,,,,
47284,,,,132700,Unknown,,,,,,,,,
47286,,,,145010,Unknown,,,,,,,,,
47287,,,,165500,Unknown,,,,,,,,,
47288,,,,71804,Unknown,,,,,,,,,
47289,,,,109701,Unknown,,,,,,,,,
47290,,,,148103,Unknown,,,,,,,,,
47291,,,,147602,Unknown,,,,,,,,,
47292,,,,36500,Unknown,,,,,,,,,
47293,,,,181400,Unknown,,,,,,,,,
47294,,,,134303,Unknown,,,,,,,,,
47295,,,,180900,Unknown,,,,,,,,,
47296,,,,138407,Unknown,,,,,,,,,
47297,,,,69803,Unknown,,,,,,,,,
47298,,,,132800,Unknown,,,,,,,,,
47299,,,,141509,Unknown,,,,,,,,,
47300,,,,149701,Unknown,,,,,,,,,
47301,,,,141006,Unknown,,,,,,,,,
47302,,,,143568,Unknown,,,,,,,,,
47303,,,,162000,Unknown,,,,,,,,,
47304,,,,123601,Unknown,,,,,,,,,
47305,,,,143569,Unknown,,,,,,,,,
47306,,,,143570,Unknown,,,,,,,,,
47307,,,,136401,Unknown,,,,,,,,,
47308,,,,145106,Unknown,,,,,,,,,
47309,,,,140507,Unknown,,,,,,,,,
47310,,,,140508,Unknown,,,,,,,,,
47311,,,,63203,Unknown,,,,,,,,,
47312,,,,144615,Unknown,,,,,,,,,
47313,,,,144616,Unknown,,,,,,,,,
47314,,,,122600,Unknown,,,,,,,,,
47315,,,,139003,Unknown,,,,,,,,,
47316,,,,139004,Unknown,,,,,,,,,
